Sensor, X, Y, Z
gravity, -9.602698, -0.885796, 1.781554
gravity, -9.602974, -0.885983, 1.779979
gravity, -9.602122, -0.907076, 1.773933
gravity, -9.601918, -0.915923, 1.770489
gravity, -9.605133, -0.898899, 1.761760
gravity, -9.612293, -0.878435, 1.732793
gravity, -9.619563, -0.871528, 1.695529
gravity, -9.640011, -0.823100, 1.600967
gravity, -9.643611, -0.886683, 1.544326
gravity, -9.679243, -0.883196, 1.304845
gravity, -9.716283, -0.862919, 1.009758
gravity, -9.748809, -0.783305, 0.719403
gravity, -9.768891, -0.808604, 0.292096
gravity, -9.769248, -0.828415, -0.214309
gravity, -9.746981, -0.887926, -0.615096
gravity, -9.694665, -0.914257, -1.161030
gravity, -9.572914, -0.969037, -1.894908
gravity, -9.406749, -0.948679, -2.604511
gravity, -9.271336, -0.940776, -3.054121
gravity, -9.121635, -0.809881, -3.508599
gravity, -8.904861, -0.700272, -4.047645
gravity, -8.748749, -0.635409, -4.384750
gravity, -8.607393, -0.584757, -4.662749
gravity, -8.449240, -0.492943, -4.953558
gravity, -8.298762, -0.410522, -5.208878
gravity, -8.151296, -0.278839, -5.445089
gravity, -8.054731, -0.190800, -5.590641
gravity, -7.975144, -0.086985, -5.706128
gravity, -7.936271, -0.030646, -5.760647
gravity, -7.859978, 0.006093, -5.864392
gravity, -7.823897, 0.017673, -5.912420
gravity, -7.804658, 0.030305, -5.937742
gravity, -7.792302, 0.056801, -5.953754
gravity, -7.801745, 0.050291, -5.941433
gravity, -7.789681, 0.058771, -5.957164
gravity, -7.739321, 0.080418, -6.022195
gravity, -7.752366, 0.056234, -6.005669
gravity, -7.771028, 0.027101, -5.981705
gravity, -7.786103, 0.008294, -5.962123
gravity, -7.909027, 0.017356, -5.798050
gravity, -8.428521, -0.221562, -5.008126
gravity, -9.040410, -0.409214, -3.778084
gravity, -9.427300, -0.341814, -2.679471
gravity, -9.617227, -0.315004, -1.892116
gravity, -9.764029, -0.360170, -0.839286
gravity, -9.787004, -0.616586, -0.068951
gravity, -9.768519, -0.740934, 0.444341
gravity, -9.755740, -0.732708, 0.677546
gravity, -9.735317, -0.757877, 0.905325
gravity, -9.725694, -0.793517, 0.975494
gravity, -9.725476, -0.796035, 0.975612
gravity, -9.729232, -0.770528, 0.958501
gravity, -9.726128, -0.769922, 0.989969
gravity, -9.722520, -0.796416, 1.004345
gravity, -9.724317, -0.769720, 1.007765
gravity, -9.729395, -0.733750, 0.985331
gravity, -9.739013, -0.728916, 0.889217
gravity, -9.744035, -0.792712, 0.771861
gravity, -9.765922, -0.770114, 0.451757
gravity, -9.780300, -0.718043, 0.022800
gravity, -9.766912, -0.647373, -0.598931
gravity, -9.705784, -0.651459, -1.242472
gravity, -9.621407, -0.665429, -1.776552
gravity, -9.508569, -0.545602, -2.336627
gravity, -9.351535, -0.428135, -2.921623
gravity, -9.131357, -0.297542, -3.563728
gravity, -8.915999, -0.211452, -4.078066
gravity, -8.692659, -0.087054, -4.538775
gravity, -8.533510, -0.062237, -4.831740
gravity, -8.357624, 0.025560, -5.130290
gravity, -8.199088, 0.108870, -5.378985
gravity, -8.182003, 0.134942, -5.404351
gravity, -8.196134, 0.092972, -5.383784
gravity, -8.253953, 0.080214, -5.294923
gravity, -8.350405, 0.078583, -5.141494
gravity, -8.554911, 0.072121, -4.793610
gravity, -8.871671, 0.091334, -4.177978
gravity, -9.361560, 0.013324, -2.920855
gravity, -9.673244, 0.037211, -1.611632
gravity, -9.792453, 0.014197, -0.527293
gravity, -9.802759, -0.114195, 0.251528
gravity, -9.769055, -0.167700, 0.841328
gravity, -9.711714, -0.328218, 1.321090
gravity, -9.656963, -0.441197, 1.648872
gravity, -9.634419, -0.451794, 1.773202
gravity, -9.609750, -0.400042, 1.913915
gravity, -9.590901, -0.371960, 2.011624
gravity, -9.586752, -0.414628, 2.023034
gravity, -9.595531, -0.402314, 1.983515
gravity, -9.602287, -0.417553, 1.947333
gravity, -9.624335, -0.390182, 1.841284
gravity, -9.665898, -0.350167, 1.618079
gravity, -9.749059, -0.381432, 0.990331
gravity, -9.800602, -0.335938, 0.075682
gravity, -9.771912, -0.327849, -0.756739
gravity, -9.690632, -0.244518, -1.483998
gravity, -9.530933, -0.144339, -2.304531
gravity, -9.353894, -0.044677, -2.945004
gravity, -9.215914, 0.036155, -3.352016
gravity, -9.095510, 0.171697, -3.662323
gravity, -9.017096, 0.248250, -3.847174
gravity, -8.975494, 0.271181, -3.941744
gravity, -8.940063, 0.289453, -4.020184
gravity, -8.937937, 0.288465, -4.024980
gravity, -8.946217, 0.287169, -4.006637
gravity, -8.931474, 0.326748, -4.036383
gravity, -8.922056, 0.347813, -4.055406
gravity, -8.928058, 0.347286, -4.042224
gravity, -8.931614, 0.371378, -4.032212
gravity, -9.032296, 0.348546, -3.803488
gravity, -9.149736, 0.335590, -3.512848
gravity, -9.323150, 0.299288, -3.026499
gravity, -9.504640, 0.188920, -2.407600
gravity, -9.666471, 0.213700, -1.638310
gravity, -9.772108, 0.150822, -0.808417
gravity, -9.804860, 0.142784, 0.121313
gravity, -9.770610, 0.098114, 0.834232
gravity, -9.681828, 0.052572, 1.558791
gravity, -9.509663, 0.043714, 2.394744
gravity, -9.367524, 0.022762, 2.901615
gravity, -9.257848, -0.118495, 3.232427
gravity, -9.230368, -0.147029, 3.308940
gravity, -9.209389, -0.145733, 3.366942
gravity, -9.218314, -0.137760, 3.342768
gravity, -9.227701, -0.144715, 3.316471
gravity, -9.240926, -0.155845, 3.278931
gravity, -9.257841, -0.134618, 3.231815
gravity, -9.249160, -0.138006, 3.256439
gravity, -9.263987, -0.139926, 3.213933
gravity, -9.271818, -0.124374, 3.191912
gravity, -9.279592, -0.143002, 3.168456
gravity, -9.272447, -0.165401, 3.188224
