Sensor, X, Y, Z
gyroscope, -0.004562, -0.004176, -0.001076
gyroscope, -0.000504, -0.000987, -0.001274
gyroscope, 0.008011, 0.004140, -0.007027
gyroscope, 0.009293, 0.004140, -0.000221
gyroscope, 0.008438, 0.007329, 0.006599
gyroscope, -0.007538, 0.011800, 0.006386
gyroscope, 0.002686, 0.027348, 0.010429
gyroscope, -0.023300, 0.041631, 0.020241
gyroscope, -0.032043, 0.041844, -0.026421
gyroscope, -0.055267, 0.116841, 0.005745
gyroscope, -0.034164, 0.143254, 0.022362
gyroscope, -0.036514, 0.160298, 0.028328
gyroscope, -0.050781, 0.216115, -0.009590
gyroscope, -0.061447, 0.249577, -0.010658
gyroscope, -0.040131, 0.203969, -0.028130
gyroscope, -0.075073, 0.275563, -0.019600
gyroscope, -0.065277, 0.382726, -0.037071
gyroscope, -0.009033, 0.371007, 0.009163
gyroscope, 0.014832, 0.242757, 0.013420
gyroscope, -0.051208, 0.250630, 0.051979
gyroscope, -0.093399, 0.291753, 0.016609
gyroscope, -0.032471, 0.187566, 0.017891
gyroscope, -0.009247, 0.162007, 0.028755
gyroscope, -0.053772, 0.172231, 0.025780
gyroscope, -0.051422, 0.151143, 0.015755
gyroscope, -0.074005, 0.140279, 0.031105
gyroscope, -0.033325, 0.094472, 0.016197
gyroscope, -0.038223, 0.073582, 0.033241
gyroscope, -0.046310, 0.058034, 0.011711
gyroscope, -0.027573, 0.063786, 0.013634
gyroscope, -0.009460, 0.041417, 0.021294
gyroscope, 0.005661, 0.030980, 0.018105
gyroscope, 0.000977, 0.013295, 0.007454
gyroscope, 0.003540, 0.007756, 0.006813
gyroscope, -0.002640, 0.011800, 0.001701
gyroscope, 0.004608, 0.030980, 0.002983
gyroscope, 0.012054, -0.003322, -0.008308
gyroscope, 0.001404, -0.016750, -0.006386
gyroscope, -0.004562, -0.029735, -0.007454
gyroscope, 0.008865, -0.159068, -0.014702
gyroscope, 0.134567, -0.480983, -0.051125
gyroscope, 0.101120, -0.690852, -0.053474
gyroscope, -0.006042, -0.578563, 0.034721
gyroscope, 0.005676, -0.491222, 0.017891
gyroscope, -0.008820, -0.558971, -0.029610
gyroscope, -0.037796, -0.391933, -0.127190
gyroscope, -0.001144, -0.253230, -0.058586
gyroscope, 0.055740, -0.105586, -0.004265
gyroscope, 0.019302, -0.102397, -0.005760
gyroscope, 0.009079, -0.030803, -0.005119
gyroscope, 0.010574, 0.002003, 0.004265
gyroscope, 0.005035, 0.005620, 0.009377
gyroscope, 0.006104, -0.018230, -0.004265
gyroscope, 0.013550, -0.005031, -0.002342
gyroscope, 0.005890, 0.002431, 0.003624
gyroscope, 0.009720, 0.015858, 0.008949
gyroscope, 0.030167, 0.051427, 0.003624
gyroscope, 0.023560, 0.075932, -0.026421
gyroscope, 0.053818, 0.168828, 0.008308
gyroscope, 0.018448, 0.274709, 0.027046
gyroscope, -0.065063, 0.312428, 0.034523
gyroscope, -0.038437, 0.328191, -0.008095
gyroscope, -0.011581, 0.276418, -0.007240
gyroscope, -0.013504, 0.290471, 0.060722
gyroscope, -0.061661, 0.309865, 0.049004
gyroscope, -0.070816, 0.345235, 0.043037
gyroscope, 0.004181, 0.285573, 0.048149
gyroscope, -0.075287, 0.255742, 0.032372
gyroscope, -0.053131, 0.186711, 0.000008
gyroscope, -0.043121, 0.175221, 0.024284
gyroscope, -0.056122, 0.146031, 0.020241
gyroscope, -0.000076, 0.036305, 0.008736
gyroscope, 0.024841, -0.004176, -0.013847
gyroscope, -0.003281, -0.053813, -0.007027
gyroscope, -0.006256, -0.107936, 0.000633
gyroscope, 0.026550, -0.202739, 0.011711
gyroscope, 0.010361, -0.357204, 0.016182
gyroscope, -0.030121, -0.672740, -0.053688
gyroscope, 0.086838, -0.681255, 0.025780
gyroscope, -0.031403, -0.548106, -0.007240
