Sensor, X, Y, Z
linear accelerometer, -0.031677, -0.017564, 0.033259
linear accelerometer, -0.006086, 0.004330, -0.006418
linear accelerometer, 0.008657, -0.021755, -0.000300
linear accelerometer, -0.008905, -0.026170, 0.008188
linear accelerometer, 0.006475, 0.002657, 0.007128
linear accelerometer, 0.028879, 0.025023, -0.015971
linear accelerometer, -0.047727, -0.035207, 0.041628
linear accelerometer, -0.035992, 0.031723, -0.013936
linear accelerometer, -0.005003, -0.007759, 0.063718
linear accelerometer, 0.005695, 0.017480, 0.000301
linear accelerometer, 0.069621, -0.025608, -0.032544
linear accelerometer, -0.008978, 0.062502, 0.061962
linear accelerometer, 0.016115, -0.029346, 0.111345
linear accelerometer, 0.177625, 0.047310, 0.000490
linear accelerometer, -0.168778, -0.179839, 0.048009
linear accelerometer, 0.021866, -0.032035, 0.150065
linear accelerometer, 0.074003, -0.043208, 0.452816
linear accelerometer, 0.315717, 0.019034, 0.119927
linear accelerometer, -0.021628, -0.176363, 0.182311
linear accelerometer, -0.041194, 0.033346, 0.301970
linear accelerometer, 0.166470, 0.170697, 0.193059
linear accelerometer, 0.238606, 0.116805, 0.238667
linear accelerometer, 0.108093, -0.139304, 0.143338
linear accelerometer, 0.159522, -0.079159, 0.358662
linear accelerometer, 0.116923, 0.066655, 0.192583
linear accelerometer, 0.031500, 0.011426, 0.057432
linear accelerometer, 0.109170, 0.052745, 0.110744
linear accelerometer, 0.052726, 0.138867, 0.146674
linear accelerometer, -0.031240, -0.033346, 0.098879
linear accelerometer, 0.009347, -0.035616, -0.000202
linear accelerometer, -0.030091, -0.068465, 0.033112
linear accelerometer, -0.017975, -0.018981, 0.062171
linear accelerometer, 0.013530, 0.032022, 0.026282
linear accelerometer, -0.007084, -0.026957, 0.073756
linear accelerometer, -0.009701, 0.005066, 0.001397
linear accelerometer, 0.027863, 0.045616, -0.032720
linear accelerometer, -0.010017, 0.006499, 0.029715
linear accelerometer, 0.007287, -0.035830, -0.002079
linear accelerometer, 0.065956, -0.025993, -0.037933
linear accelerometer, 0.191382, 0.085944, -0.127793
linear accelerometer, -0.126884, -0.184577, -0.159794
linear accelerometer, -0.198343, -0.060423, 0.062147
linear accelerometer, -0.190338, -0.018706, 0.178142
linear accelerometer, -0.222302, -0.001006, 0.118914
linear accelerometer, 0.026015, 0.161159, 0.022119
linear accelerometer, -0.508449, -0.204753, 0.029775
linear accelerometer, -0.403697, -0.215149, 0.300746
linear accelerometer, -0.095021, 0.012690, 0.041682
linear accelerometer, -0.132756, -0.045825, 0.062023
linear accelerometer, -0.108788, -0.066277, 0.027783
linear accelerometer, -0.040834, -0.030824, 0.009165
linear accelerometer, -0.022651, 0.010755, -0.012482
linear accelerometer, 0.008887, 0.016635, -0.012066
linear accelerometer, 0.022416, -0.050423, 0.003130
linear accelerometer, -0.016477, 0.040315, 0.014940
linear accelerometer, -0.010551, 0.032809, 0.016424
linear accelerometer, -0.115792, -0.025586, 0.009257
linear accelerometer, 0.004875, -0.033966, 0.059109
linear accelerometer, 0.039504, -0.008616, 0.058731
linear accelerometer, 0.287535, 0.185609, 0.027203
linear accelerometer, 0.054035, -0.032836, 0.050406
linear accelerometer, 0.148778, 0.104519, 0.125932
linear accelerometer, 0.093087, -0.060176, 0.130412
linear accelerometer, 0.104575, -0.069337, 0.144332
linear accelerometer, 0.054857, -0.156146, 0.121678
linear accelerometer, 0.055593, 0.080333, 0.156413
linear accelerometer, 0.104398, 0.049025, 0.159460
linear accelerometer, 0.090860, -0.014229, 0.059522
linear accelerometer, 0.049212, -0.052136, 0.105109
linear accelerometer, 0.082588, 0.065162, 0.026170
linear accelerometer, 0.064822, -0.021707, 0.024824
linear accelerometer, 0.016400, 0.022692, 0.113044
linear accelerometer, 0.034916, 0.015897, 0.064639
linear accelerometer, -0.049363, -0.009504, -0.031118
linear accelerometer, 0.061454, -0.019736, -0.039792
linear accelerometer, 0.069698, -0.003919, 0.118190
