Sensor, X, Y, Z
magnetic, 35.867310, 36.347961, -5.595398
magnetic, 37.263489, 35.649109, -5.595398
magnetic, 35.867310, 36.347961, -6.275940
magnetic, 36.564636, 36.347961, -6.954956
magnetic, 37.263489, 34.252930, -6.275940
magnetic, 36.564636, 35.649109, -5.595398
magnetic, 37.263489, 36.347961, -5.595398
magnetic, 35.168457, 35.649109, -6.275940
magnetic, 37.263489, 34.951782, -6.275940
magnetic, 36.564636, 35.649109, -4.237366
magnetic, 37.263489, 37.046814, -4.916382
magnetic, 36.914063, 34.951782, -3.897095
magnetic, 37.960815, 35.998535, -2.877808
magnetic, 36.914063, 35.649109, -0.837708
magnetic, 37.612915, 34.951782, 0.862122
magnetic, 36.914063, 34.951782, 3.579712
magnetic, 36.215210, 36.347961, 4.939270
magnetic, 36.215210, 35.998535, 7.658386
magnetic, 36.215210, 36.347961, 10.716248
magnetic, 33.071899, 36.697388, 13.095093
magnetic, 34.120178, 36.697388, 14.454651
magnetic, 33.421326, 35.650635, 17.514038
magnetic, 33.071899, 36.347961, 19.212341
magnetic, 32.374573, 35.998535, 19.892883
magnetic, 30.976868, 35.301208, 21.931458
magnetic, 30.279541, 34.951782, 22.612000
magnetic, 30.278015, 35.649109, 24.650574
magnetic, 29.930115, 34.951782, 24.650574
magnetic, 28.881836, 33.554077, 25.329590
magnetic, 30.279541, 33.204651, 26.689148
magnetic, 29.580688, 33.206177, 27.369690
magnetic, 28.881836, 34.252930, 28.048706
magnetic, 28.881836, 34.252930, 28.727722
magnetic, 29.231262, 32.855225, 28.729248
magnetic, 29.580688, 32.157898, 28.727722
magnetic, 28.881836, 32.855225, 28.729248
magnetic, 29.231262, 32.507324, 28.727722
magnetic, 28.184509, 33.903503, 27.708435
magnetic, 29.231262, 33.554077, 28.388977
magnetic, 27.835083, 33.204651, 28.388977
magnetic, 28.184509, 32.157898, 29.067993
magnetic, 30.976868, 32.855225, 27.708435
magnetic, 30.976868, 34.951782, 22.950745
magnetic, 34.469604, 34.252930, 17.514038
magnetic, 35.867310, 33.554077, 14.114380
magnetic, 37.960815, 34.602356, 9.017944
magnetic, 37.263489, 33.903503, 6.639099
magnetic, 37.612915, 35.650635, 2.560425
magnetic, 38.310242, 36.347961, 1.541138
magnetic, 37.611389, 35.649109, 1.200867
magnetic, 38.310242, 35.649109, 0.521851
magnetic, 37.960815, 35.649109, 0.181580
magnetic, 37.960815, 35.649109, 0.862122
magnetic, 37.263489, 34.602356, 0.521851
magnetic, 36.215210, 34.252930, 0.521851
magnetic, 36.564636, 37.046814, -0.158691
magnetic, 39.358521, 34.252930, 0.521851
magnetic, 36.564636, 35.649109, -0.158691
magnetic, 38.659668, 36.347961, 1.200867
magnetic, 37.263489, 34.951782, 1.200867
magnetic, 37.263489, 34.602356, 3.919983
magnetic, 37.612915, 35.301208, 5.958557
magnetic, 38.310242, 35.650635, 8.337402
magnetic, 36.564636, 36.347961, 11.396790
magnetic, 36.914063, 34.602356, 12.416077
magnetic, 34.469604, 34.252930, 16.154480
magnetic, 34.819031, 34.602356, 17.514038
magnetic, 33.073425, 33.903503, 19.212341
magnetic, 32.723999, 34.602356, 22.271729
magnetic, 32.723999, 33.554077, 23.291016
magnetic, 33.073425, 32.855225, 24.990845
magnetic, 31.326294, 33.204651, 27.029419
magnetic, 31.675720, 32.856750, 26.348877
magnetic, 31.326294, 32.157898, 24.650574
magnetic, 32.025146, 33.554077, 25.669861
magnetic, 32.723999, 33.554077, 23.970032
magnetic, 32.374573, 32.157898, 23.970032
magnetic, 35.517883, 32.855225, 21.252441
magnetic, 36.564636, 33.903503, 16.494751
magnetic, 37.962341, 32.855225, 11.737061
magnetic, 39.009094, 32.157898, 6.639099
magnetic, 40.406799, 32.507324, 4.600525
magnetic, 40.756226, 33.204651, 2.560425
magnetic, 38.659668, 33.903503, -0.837708
magnetic, 38.659668, 33.903503, -1.518250
magnetic, 38.310242, 33.554077, -3.556824
magnetic, 38.659668, 33.903503, -4.576111
magnetic, 38.310242, 33.903503, -4.237366
magnetic, 37.612915, 33.555603, -3.897095
magnetic, 38.310242, 32.855225, -3.556824
magnetic, 37.960815, 33.903503, -4.235840
magnetic, 39.009094, 34.602356, -3.897095
magnetic, 38.310242, 34.602356, -2.197266
magnetic, 38.659668, 34.951782, -0.157166
magnetic, 39.358521, 35.301208, 4.598999
magnetic, 36.215210, 33.204651, 7.658386
magnetic, 37.960815, 33.554077, 10.377502
magnetic, 37.612915, 33.204651, 12.756348
magnetic, 36.914063, 32.855225, 15.135193
magnetic, 35.865784, 33.204651, 16.494751
magnetic, 36.215210, 33.204651, 19.213867
magnetic, 36.215210, 32.855225, 19.552612
magnetic, 35.517883, 31.109619, 20.912170
magnetic, 35.168457, 32.157898, 21.592712
magnetic, 35.865784, 31.808472, 20.912170
magnetic, 34.819031, 32.157898, 20.912170
magnetic, 34.469604, 31.459045, 21.931458
magnetic, 34.469604, 31.459045, 21.252441
magnetic, 34.819031, 31.459045, 21.592712
magnetic, 34.469604, 31.459045, 20.912170
magnetic, 37.263489, 30.061340, 20.912170
magnetic, 35.867310, 29.364014, 18.193054
