Sensor, X, Y, Z
orientation angles, -0.040345, 0.090449, 1.387356
orientation angles, -0.011123, 0.090468, 1.387519
orientation angles, 0.006001, 0.092628, 1.388112
orientation angles, -0.019137, 0.093535, 1.388455
orientation angles, -0.034026, 0.091791, 1.389394
orientation angles, -0.033624, 0.089696, 1.392443
orientation angles, 0.002351, 0.088989, 1.396330
orientation angles, 0.002724, 0.084032, 1.406223
orientation angles, -0.049612, 0.090540, 1.412005
orientation angles, -0.003166, 0.090183, 1.436796
orientation angles, 0.001918, 0.088107, 1.467244
orientation angles, 0.002324, 0.079960, 1.497136
orientation angles, -0.008186, 0.082548, 1.540905
orientation angles, -0.001169, 0.084576, 1.592730
orientation angles, -0.039650, 0.090667, 1.633819
orientation angles, -0.018236, 0.093364, 1.689988
orientation angles, -0.014936, 0.098976, 1.766215
orientation angles, -0.106824, 0.098976, 1.766215
orientation angles, -0.114154, 0.096890, 1.840907
orientation angles, -0.092309, 0.096080, 1.889017
orientation angles, -0.064239, 0.071469, 1.997422
orientation angles, -0.069644, 0.064839, 2.035392
orientation angles, -0.061421, 0.059664, 2.067256
orientation angles, -0.097210, 0.050287, 2.101061
orientation angles, -0.126295, 0.050287, 2.101061
orientation angles, -0.106157, 0.028437, 2.159724
orientation angles, -0.092870, 0.019457, 2.177539
orientation angles, -0.113733, 0.008870, 2.191842
orientation angles, -0.123766, 0.008870, 2.191842
orientation angles, -0.127124, -0.000621, 2.211802
orientation angles, -0.143647, -0.001802, 2.217927
orientation angles, -0.159067, -0.001802, 2.217927
orientation angles, -0.152373, -0.005792, 2.223233
orientation angles, -0.151240, -0.005128, 2.221650
orientation angles, -0.158078, -0.005993, 2.223671
orientation angles, -0.153361, -0.005993, 2.223671
orientation angles, -0.135239, -0.005734, 2.229912
orientation angles, -0.137723, -0.002763, 2.226815
orientation angles, -0.167410, -0.000846, 2.224295
orientation angles, -0.207335, -0.001770, 2.203389
orientation angles, -0.245444, 0.022595, 2.106931
orientation angles, -0.269972, 0.041740, 1.966647
orientation angles, -0.087724, 0.041740, 1.966647
orientation angles, -0.116582, 0.034862, 1.847718
orientation angles, -0.171212, 0.036735, 1.656543
orientation angles, -0.199785, 0.062916, 1.577841
orientation angles, -0.068999, 0.062916, 1.577841
orientation angles, -0.098023, 0.075626, 1.525341
orientation angles, -0.115622, 0.074785, 1.501457
orientation angles, -0.133026, 0.081005, 1.470830
orientation angles, -0.121665, 0.081262, 1.470816
orientation angles, -0.139666, 0.078653, 1.472596
orientation angles, -0.135059, 0.078591, 1.469361
orientation angles, -0.132865, 0.078591, 1.469361
orientation angles, -0.105582, 0.078570, 1.467531
orientation angles, -0.142629, 0.074892, 1.469867
orientation angles, -0.096121, 0.074397, 1.479744
orientation angles, -0.127616, 0.080922, 1.491748
orientation angles, -0.091257, 0.078611, 1.524571
orientation angles, -0.091257, 0.078611, 1.524571
orientation angles, -0.125412, 0.073286, 1.568465
orientation angles, -0.034681, 0.066479, 1.698117
orientation angles, -0.037740, 0.067907, 1.753386
orientation angles, -0.068436, 0.055665, 1.811761
orientation angles, -0.025645, 0.043672, 1.873610
orientation angles, -0.156518, 0.043672, 1.873610
orientation angles, -0.042763, 0.021564, 1.999777
orientation angles, -0.111847, 0.021564, 1.999777
orientation angles, -0.094539, 0.006346, 2.085998
orientation angles, -0.080937, -0.002606, 2.121334
orientation angles, -0.120641, -0.002606, 2.121334
orientation angles, -0.155356, -0.013761, 2.154529
orientation angles, -0.138448, -0.009481, 2.151985
orientation angles, -0.104269, -0.009481, 2.151985
orientation angles, -0.148483, -0.008013, 2.122693
orientation angles, -0.095758, -0.008013, 2.122693
orientation angles, -0.238057, -0.009314, 2.010923
orientation angles, -0.286882, -0.001359, 1.873230
orientation angles, -0.292703, -0.003795, 1.735887
orientation angles, -0.286029, -0.001448, 1.624591
orientation angles, -0.236399, 0.011645, 1.545143
orientation angles, -0.247799, 0.017102, 1.484887
orientation angles, -0.247019, 0.033475, 1.435596
orientation angles, -0.174906, 0.045005, 1.401683
orientation angles, -0.154626, 0.045005, 1.401683
orientation angles, -0.124327, 0.040804, 1.374205
orientation angles, -0.106276, 0.037938, 1.364050
orientation angles, -0.116186, 0.042293, 1.362824
orientation angles, -0.118184, 0.041036, 1.366955
orientation angles, -0.131570, 0.042591, 1.370711
orientation angles, -0.104830, 0.042591, 1.370711
orientation angles, -0.105670, 0.039798, 1.381765
orientation angles, -0.050906, 0.038905, 1.469561
orientation angles, -0.004206, 0.034263, 1.563074
orientation angles, -0.045509, 0.033438, 1.648082
orientation angles, -0.150282, 0.033438, 1.648082
orientation angles, -0.035325, 0.014719, 1.808038
