Sensor, X, Y, Z
gravity,-9.750247,0.042833,1.049401
gravity,-9.751367,0.015058,1.03972
gravity,-9.749512,0.004827,1.057066
gravity,-9.751034,0.002119,1.042932
gravity,-9.751675,0.006988,1.036907
gravity,-9.750695,0.007962,1.046073
gravity,-9.750602,0.024197,1.046697
gravity,-9.750175,0.004127,1.050925
gravity,-9.751814,0.008981,1.035587
gravity,-9.751197,-0.002102,1.041419
gravity,-9.752481,0.007057,1.029296
gravity,-9.754263,-0.006663,1.012272
gravity,-9.754326,-0.025867,1.01136
gravity,-9.753852,-0.023417,1.015975
gravity,-9.747934,-0.018821,1.071363
gravity,-9.737588,-0.012246,1.161738
gravity,-9.719672,-0.041783,1.302546
gravity,-9.69631,-0.01224,1.466901
gravity,-9.64682,0.018817,1.763205
gravity,-9.533701,0.04219,2.297204
gravity,-9.324965,0.084914,3.034504
gravity,-9.130488,0.096303,3.577052
gravity,-9.049547,0.072915,3.777668
gravity,-9.044696,0.00368,3.789968
gravity,-9.065042,0.067318,3.740436
gravity,-9.137734,0.096635,3.55849
gravity,-9.259507,0.060466,3.229279
gravity,-9.385926,-0.017974,2.841555
gravity,-9.460921,-0.027791,2.580807
gravity,-9.558062,0.021904,2.19394
gravity,-9.666597,0.024846,1.651264
gravity,-9.751235,0.027967,1.040678
gravity,-9.79066,0.076302,0.55457
gravity,-9.800074,0.082628,0.34945
gravity,-9.802773,0.055989,0.269984
gravity,-9.800842,0.090654,0.325058
gravity,-9.79466,0.108353,0.47253
gravity,-9.784007,0.098363,0.658728
gravity,-9.763901,0.11294,0.907675
gravity,-9.720277,0.140961,1.291018
gravity,-9.650075,0.141058,1.739693
gravity,-9.581932,0.133657,2.08305
gravity,-9.464265,0.139801,2.564866
gravity,-9.31582,0.069665,3.062847
gravity,-9.171679,0.087459,3.470309
gravity,-8.95933,0.11972,3.985783
gravity,-8.726283,0.127735,4.472814
gravity,-8.540029,0.095573,4.819664
gravity,-8.489106,0.113069,4.908431
gravity,-8.562136,0.146647,4.778986
gravity,-8.740275,0.141227,4.445001
gravity,-9.00006,0.121225,3.892892
gravity,-9.250082,0.07101,3.255967
gravity,-9.467584,-0.017031,2.556358
gravity,-9.625195,-0.024792,1.877604
gravity,-9.71028,0.052073,1.370449
gravity,-9.753741,0.099535,1.012428
gravity,-9.75468,0.106152,1.002663
gravity,-9.750294,0.111266,1.043928
gravity,-9.745127,0.116902,1.090519
gravity,-9.741734,0.131956,1.118753
gravity,-9.736978,0.1291,1.159738
gravity,-9.715115,0.117601,1.331578
gravity,-9.657539,0.143155,1.697595
gravity,-9.549544,0.163925,2.224796
gravity,-9.408892,0.254678,2.752867
gravity,-9.220017,0.312971,3.326217
gravity,-9.010794,0.297407,3.858436
gravity,-8.788684,0.329653,4.338289
gravity,-8.650061,0.293508,4.610932
gravity,-8.564964,0.227976,4.770723
gravity,-8.517916,0.23327,4.853976
gravity,-8.552387,0.273959,4.790825
gravity,-8.618423,0.247054,4.672489
gravity,-8.798936,0.262322,4.322072
gravity,-9.077964,0.220798,3.702999
gravity,-9.373755,0.219678,2.873124
gravity,-9.593708,0.203673,2.022295
gravity,-9.716127,0.166115,1.31896
gravity,-9.75311,0.121206,1.01614
gravity,-9.754963,0.143408,0.99525
gravity,-9.746325,0.157184,1.074628
gravity,-9.738492,0.159495,1.14312
