Sensor, X, Y, Z
gyroscope,0.000565,-0.004176,-0.009804
gyroscope,-0.001785,-0.001628,-0.006599
gyroscope,0.000763,-0.009715,-0.002556
gyroscope,-0.002213,0.003712,-0.001274
gyroscope,0.000763,-0.00056,0.001488
gyroscope,0.006317,-0.003749,0.000633
gyroscope,-0.000076,-0.000774,0.000206
gyroscope,-0.000717,-0.005885,-0.010445
gyroscope,0.005463,0.003072,0.002129
gyroscope,-0.001358,0.002003,-0.007454
gyroscope,0.000992,0.008611,0.008736
gyroscope,-0.001572,0.008611,-0.00724
gyroscope,0.002472,-0.001399,-0.005959
gyroscope,0.002258,-0.004817,0.001488
gyroscope,0.005035,-0.032085,0.001274
gyroscope,0.019943,-0.061061,0.008095
gyroscope,0.002045,-0.06425,-0.011299
gyroscope,0.00354,-0.082149,0.007027
gyroscope,0.000336,-0.154811,0.016609
gyroscope,-0.006271,-0.279018,0.011284
gyroscope,0.097275,-0.389796,-0.007454
gyroscope,0.034851,-0.296489,-0.002983
gyroscope,0.02356,-0.119014,-0.013206
gyroscope,-0.004349,-0.016322,-0.02961
gyroscope,0.006531,0.025441,0.018959
gyroscope,0.002899,0.096181,0.003838
gyroscope,0.023987,0.177769,-0.023659
gyroscope,0.006531,0.207173,-0.043465
gyroscope,0.01973,0.140065,-0.007668
gyroscope,-0.029266,0.202702,0.032585
gyroscope,-0.066559,0.283223,0.013206
gyroscope,-0.088287,0.31754,0.01577
gyroscope,0.003754,0.251271,0.023216
gyroscope,-0.001358,0.125142,0.018532
gyroscope,-0.050156,0.03716,-0.012779
gyroscope,0.000137,-0.022289,0.006172
gyroscope,0.016754,-0.071712,0.006386
gyroscope,0.004181,-0.080867,-0.001717
gyroscope,0.010361,-0.12881,0.021309
gyroscope,-0.024155,-0.198268,0.016823
gyroscope,0.008438,-0.229793,-0.004051
gyroscope,0.017395,-0.192302,-0.001915
gyroscope,0.037415,-0.25558,-0.005959
gyroscope,0.034866,-0.26559,-0.048149
gyroscope,0.060638,-0.220424,-0.013008
gyroscope,0.026123,-0.28477,0.006386
gyroscope,0.04274,-0.281993,-0.017693
gyroscope,0.008865,-0.201671,-0.023643
gyroscope,0.012283,-0.065959,0.009789
gyroscope,-0.004562,0.069966,0.010643
gyroscope,-0.01329,0.181813,-0.002556
gyroscope,-0.016068,0.313695,-0.002983
gyroscope,-0.037796,0.350987,-0.010445
gyroscope,-0.070389,0.37505,-0.024712
gyroscope,-0.070175,0.353963,0.011497
gyroscope,-0.059097,0.262135,0.049431
gyroscope,-0.032043,0.180333,0.028542
gyroscope,-0.013718,0.009465,-0.007256
gyroscope,0.001617,-0.010143,0.007668
gyroscope,-0.001785,-0.013972,0.002769
gyroscope,0.008224,-0.015254,0.004265
gyroscope,0.005035,-0.029964,0.004463
gyroscope,0.004822,-0.084712,-0.004692
gyroscope,0.025055,-0.188472,0.006599
gyroscope,-0.001358,-0.273051,0.00959
gyroscope,0.023788,-0.278377,0.043037
gyroscope,0.008865,-0.308406,0.024712
gyroscope,0.024414,-0.291591,-0.017906
gyroscope,0.026978,-0.276668,0.006813
gyroscope,-0.011368,-0.194011,-0.003838
gyroscope,-0.003281,-0.115169,-0.027061
gyroscope,0.010361,-0.053172,-0.011726
gyroscope,0.010361,0.025227,0.014488
gyroscope,-0.004349,0.065709,-0.008095
gyroscope,0.011642,0.20078,0.00106
gyroscope,0.00589,0.345876,-0.027916
gyroscope,-0.007751,0.450475,0.000633
gyroscope,-0.04866,0.448994,0.001274
gyroscope,-0.055908,0.357167,-0.010658
gyroscope,-0.027771,0.138356,-0.017265
gyroscope,-0.010315,0.007542,0.014275
gyroscope,-0.00264,-0.028255,0.003624
gyroscope,0.007156,-0.025905,-0.00106
