Sensor, X, Y, Z
linear accelerometer,0.037613,0.000001,-0.004639
linear accelerometer,-0.030169,-0.030763,-0.024268
linear accelerometer,-0.014618,-0.011673,-0.002587
linear accelerometer,0.034572,0.000017,-0.018507
linear accelerometer,0.004733,0.003279,-0.015729
linear accelerometer,0.008857,-0.003828,0.002821
linear accelerometer,0.000731,0.032806,-0.002059
linear accelerometer,-0.005712,0.000945,-0.015139
linear accelerometer,-0.012191,-0.001426,-0.018594
linear accelerometer,-0.002872,0.007596,0.020984
linear accelerometer,0.025941,-0.017738,0.00736
linear accelerometer,0.0097,0.001269,-0.00132
linear accelerometer,-0.017114,-0.017211,-0.006108
linear accelerometer,0.002543,-0.002394,-0.010583
linear accelerometer,0.024373,0.001744,-0.01903
linear accelerometer,-0.015143,-0.020812,-0.00995
linear accelerometer,0.018756,-0.016937,0.029216
linear accelerometer,0.000571,0.030411,0.005548
linear accelerometer,0.030308,-0.028072,-0.075641
linear accelerometer,0.114057,0.077725,-0.135839
linear accelerometer,-0.318108,0.059783,-0.119623
linear accelerometer,-0.412598,-0.111895,0.103304
linear accelerometer,-0.133921,-0.034888,0.01479
linear accelerometer,-0.031954,-0.025075,-0.030567
linear accelerometer,-0.043452,0.051402,0.009568
linear accelerometer,-0.007433,0.042348,-0.010663
linear accelerometer,-0.0587,-0.018405,0.021636
linear accelerometer,0.091245,-0.022247,0.002845
linear accelerometer,0.0334,-0.124978,0.099452
linear accelerometer,0.142554,0.004241,0.095402
linear accelerometer,0.129912,0.056169,-0.021578
linear accelerometer,0.157635,-0.085203,0.163977
linear accelerometer,0.217709,0.050197,0.161507
linear accelerometer,0.100373,-0.06526,0.085031
linear accelerometer,0.072459,0.002724,-0.015603
linear accelerometer,0.071151,0.046223,0.021456
linear accelerometer,-0.002156,0.070236,0.124339
linear accelerometer,0.079264,-0.015987,0.051113
linear accelerometer,0.007385,-0.061188,-0.010094
linear accelerometer,-0.08123,0.007105,-0.118687
linear accelerometer,-0.043805,0.098734,0.018863
linear accelerometer,-0.077956,-0.021615,-0.05214
linear accelerometer,-0.205599,-0.001603,-0.020674
linear accelerometer,-0.100212,0.018146,-0.048171
linear accelerometer,-0.020481,0.033987,-0.041238
linear accelerometer,-0.211423,0.021666,-0.07455
linear accelerometer,-0.368838,0.056403,-0.094535
linear accelerometer,-0.1392,0.012703,-0.017358
linear accelerometer,-0.190587,-0.022131,0.042449
linear accelerometer,-0.047324,0.042196,0.000366
linear accelerometer,-0.065516,0.025151,-0.00345
linear accelerometer,0.071605,-0.03163,0.032859
linear accelerometer,0.112921,-0.087539,0.100365
linear accelerometer,0.183113,-0.015454,0.108157
linear accelerometer,0.231374,0.022645,0.00756
linear accelerometer,0.170397,-0.010663,0.044283
linear accelerometer,0.248428,-0.033317,-0.04217
linear accelerometer,0.100955,0.048174,0.007572
linear accelerometer,0.047318,-0.02263,0.04062
linear accelerometer,0.035689,0.000375,0.036744
linear accelerometer,0.033273,0.009285,-0.007088
linear accelerometer,-0.002196,-0.02749,-0.038268
linear accelerometer,0.063153,-0.008683,0.006256
linear accelerometer,0.065189,0.094073,-0.034373
linear accelerometer,-0.026527,0.055339,-0.018371
linear accelerometer,-0.083151,-0.072508,-0.031758
linear accelerometer,-0.069798,0.12799,-0.084036
linear accelerometer,-0.189552,-0.010242,-0.109615
linear accelerometer,-0.301605,-0.033342,-0.087286
linear accelerometer,-0.192792,-0.036268,-0.080461
linear accelerometer,-0.114877,-0.031744,-0.047021
linear accelerometer,-0.047177,0.033263,0.005491
linear accelerometer,-0.046379,0.01157,-0.026371
linear accelerometer,-0.08007,-0.017388,0.026252
linear accelerometer,-0.045672,0.056953,0.063223
linear accelerometer,0.017121,0.077461,0.093111
linear accelerometer,0.169983,0.044126,0.115612
linear accelerometer,0.352522,0.089016,0.040308
linear accelerometer,0.305324,0.035874,-0.091101
linear accelerometer,0.157294,-0.012934,-0.092054
linear accelerometer,0.028994,-0.008827,-0.016636
linear accelerometer,0.052516,0.013942,0.044983
linear accelerometer,0.015578,0.005236,0.036261
