Sensor, X, Y, Z
magnetic,40.057373,32.157898,-2.197266
magnetic,39.358521,32.855225,-2.877808
magnetic,39.358521,32.855225,-1.51825
magnetic,40.756226,32.855225,-1.51825
magnetic,39.358521,33.554077,-0.837708
magnetic,39.358521,32.855225,-2.197266
magnetic,38.659668,31.459045,-2.197266
magnetic,40.057373,31.459045,-2.877808
magnetic,40.057373,33.554077,-2.197266
magnetic,40.756226,32.157898,-2.877808
magnetic,37.962341,32.855225,-1.51825
magnetic,39.358521,32.855225,-3.556824
magnetic,40.756226,32.855225,-2.877808
magnetic,40.756226,32.855225,-2.877808
magnetic,39.358521,32.855225,-2.877808
magnetic,38.659668,32.855225,-2.877808
magnetic,39.358521,32.855225,-3.556824
magnetic,38.659668,33.554077,-3.556824
magnetic,40.756226,33.554077,-4.237366
magnetic,41.453552,32.855225,-6.27594
magnetic,40.756226,32.157898,-6.954956
magnetic,39.358521,32.855225,-9.674072
magnetic,38.659668,32.157898,-11.712646
magnetic,36.914063,32.855225,-14.091492
magnetic,36.21521,31.459045,-14.431763
magnetic,36.564636,32.507324,-13.751221
magnetic,36.914063,32.157898,-14.091492
magnetic,37.960815,31.808472,-13.751221
magnetic,38.310242,33.204651,-12.731934
magnetic,38.310242,33.204651,-11.03363
magnetic,38.659668,33.204651,-10.353088
magnetic,40.057373,32.507324,-7.295227
magnetic,40.055847,31.808472,-6.614685
magnetic,39.707947,32.157898,-3.556824
magnetic,39.707947,32.507324,-0.837708
magnetic,40.406799,32.855225,0.862122
magnetic,40.057373,31.459045,0.18158
magnetic,39.358521,32.507324,-1.516724
magnetic,41.104126,33.204651,-0.497437
magnetic,40.7547,32.855225,-0.497437
magnetic,39.358521,32.85675,-2.537537
magnetic,39.707947,31.459045,-3.556824
magnetic,40.055847,31.808472,-4.576111
magnetic,41.104126,31.109619,-7.635498
magnetic,38.310242,32.157898,-9.333801
magnetic,37.960815,32.507324,-11.372375
magnetic,37.612915,32.507324,-12.731934
magnetic,36.21521,31.808472,-16.130066
magnetic,36.21521,31.808472,-17.829895
magnetic,34.819031,32.507324,-17.829895
magnetic,34.469604,31.109619,-19.869995
magnetic,35.517883,31.808472,-18.849182
magnetic,35.865784,31.808472,-18.170166
magnetic,37.612915,31.459045,-15.110779
magnetic,37.960815,31.109619,-12.391663
magnetic,37.962341,31.808472,-9.333801
magnetic,40.405273,33.206177,-6.614685
magnetic,38.659668,32.507324,-4.23584
magnetic,41.453552,31.808472,-3.216553
magnetic,40.406799,32.157898,-2.877808
magnetic,39.707947,31.808472,-2.197266
magnetic,40.406799,32.507324,-1.856995
magnetic,40.756226,32.85675,-3.216553
magnetic,40.406799,33.204651,-1.856995
magnetic,39.707947,32.507324,-3.897095
magnetic,39.707947,31.109619,-5.595398
magnetic,39.009094,32.855225,-7.635498
magnetic,39.009094,31.459045,-9.674072
magnetic,38.659668,30.760193,-12.391663
magnetic,38.310242,31.109619,-14.772034
magnetic,36.914063,31.109619,-15.791321
magnetic,36.914063,31.109619,-17.150879
magnetic,35.865784,30.410767,-17.829895
magnetic,35.517883,30.412292,-19.189453
magnetic,34.819031,30.410767,-19.189453
magnetic,36.564636,31.459045,-18.170166
magnetic,36.914063,31.109619,-17.489624
magnetic,37.960815,31.109619,-15.110779
magnetic,38.659668,31.459045,-11.373901
magnetic,39.009094,32.507324,-7.295227
magnetic,40.406799,31.459045,-4.237366
magnetic,41.104126,32.507324,-2.537537
magnetic,40.7547,32.855225,-2.197266
magnetic,40.405273,33.554077,-2.877808
magnetic,39.009094,32.507324,-3.216553
