Sensor, X, Y, Z
gravity, -9.617413, -0.269226, 1.898234
gravity, -9.616981, -0.236455, 1.904776
gravity, -9.616893, -0.189404, 1.910468
gravity, -9.615859, -0.144558, 1.919570
gravity, -9.612781, -0.038666, 1.939931
gravity, -9.609844, 0.108945, 1.951774
gravity, -9.573239, 0.381540, 2.092345
gravity, -9.497602, 0.824463, 2.299175
gravity, -9.407299, 1.402329, 2.388847
gravity, -9.321441, 1.880341, 2.396968
gravity, -9.193424, 2.366892, 2.459508
gravity, -8.956201, 2.939875, 2.704439
gravity, -8.762865, 3.286228, 2.929723
gravity, -8.660685, 3.465465, 3.025472
gravity, -8.560203, 3.738014, 2.986732
gravity, -8.496198, 3.982576, 2.850283
gravity, -8.437847, 4.146755, 2.788826
gravity, -8.458207, 4.142452, 2.732985
gravity, -8.445689, 4.188790, 2.700885
gravity, -8.454979, 4.150277, 2.731103
gravity, -8.452518, 4.159850, 2.724148
gravity, -8.466105, 4.119177, 2.743688
gravity, -8.503515, 4.071909, 2.698180
gravity, -8.595217, 3.896747, 2.666085
gravity, -8.855978, 3.366004, 2.532203
gravity, -9.113502, 2.685042, 2.430025
gravity, -9.358734, 1.859043, 2.264606
gravity, -9.523159, 0.889874, 2.165170
gravity, -9.583595, 0.049742, 2.079093
gravity, -9.557989, -0.534849, 2.128185
gravity, -9.493416, -1.215834, 2.137099
gravity, -9.426949, -1.489069, 2.255150
gravity, -9.375959, -1.581428, 2.400176
gravity, -9.363801, -1.538540, 2.474374
gravity, -9.363499, -1.480791, 2.510486
gravity, -9.366717, -1.419702, 2.533663
gravity, -9.370045, -1.371482, 2.547879
gravity, -9.376101, -1.326014, 2.549667
gravity, -9.380135, -1.234136, 2.580765
gravity, -9.385338, -1.162910, 2.594892
gravity, -9.394515, -1.068308, 2.602344
gravity, -9.404698, -0.956228, 2.609149
gravity, -9.424434, -0.768126, 2.600077
gravity, -9.456123, -0.386111, 2.569635
gravity, -9.479246, -0.081160, 2.511513
gravity, -9.476804, 0.466900, 2.478424
gravity, -9.400959, 0.927476, 2.632901
gravity, -9.283731, 1.456791, 2.803653
gravity, -9.194427, 1.823802, 2.882121
gravity, -8.989219, 2.307692, 3.168421
gravity, -8.747341, 2.792618, 3.443212
gravity, -8.544972, 3.126304, 3.657878
gravity, -8.325607, 3.371565, 3.935379
gravity, -8.210197, 3.546963, 4.022698
gravity, -8.161083, 3.655601, 4.025381
gravity, -8.092044, 3.732865, 4.093278
gravity, -8.068951, 3.748302, 4.124640
gravity, -8.087598, 3.737527, 4.097808
gravity, -8.161375, 3.698890, 3.985041
gravity, -8.306765, 3.473159, 3.886542
gravity, -8.561617, 3.031304, 3.698689
gravity, -8.806971, 2.562507, 3.470046
gravity, -8.962036, 2.231249, 3.297548
gravity, -9.081911, 1.973068, 3.129901
gravity, -9.190606, 1.580017, 3.034250
gravity, -9.347271, 1.090575, 2.758544
gravity, -9.419176, 0.578573, 2.667354
gravity, -9.464750, 0.053099, 2.566331
gravity, -9.460624, -0.421012, 2.547496
gravity, -9.426951, -0.734380, 2.600700
gravity, -9.382245, -0.897737, 2.708862
gravity, -9.345810, -0.930644, 2.821369
gravity, -9.335139, -0.881710, 2.871960
gravity, -9.334796, -0.846485, 2.883648
gravity, -9.341228, -0.811009, 2.872997
gravity, -9.339971, -0.781196, 2.885319
gravity, -9.340144, -0.741522, 2.895209
gravity, -9.338141, -0.653312, 2.922784
gravity, -9.354097, -0.537309, 2.895260
gravity, -9.373110, -0.358764, 2.861203
gravity, -9.376914, -0.175446, 2.865849
gravity, -9.335244, 0.135954, 3.000853
gravity, -9.253089, 0.797513, 3.148765
gravity, -9.119646, 1.256269, 3.379976
gravity, -9.034728, 1.545111, 3.486649
gravity, -8.860160, 1.903008, 3.747868
gravity, -8.557755, 2.587375, 4.029976
gravity, -8.299093, 3.281527, 4.065345
gravity, -8.159025, 3.573353, 4.102664
gravity, -8.064037, 3.786453, 4.099325
gravity, -7.991164, 3.964703, 4.073428
gravity, -7.981933, 3.992837, 4.064037
gravity, -8.001591, 3.969296, 4.048409
gravity, -8.038074, 3.913452, 4.030463
gravity, -8.207988, 3.670507, 3.914932
gravity, -8.542247, 3.110810, 3.677400
gravity, -8.840722, 2.476036, 3.446922
gravity, -9.047525, 2.009016, 3.205701
gravity, -9.230777, 1.387518, 3.006312
gravity, -9.356787, 0.570404, 2.880203
gravity, -9.414993, 0.043737, 2.743425
gravity, -9.412996, -0.244448, 2.739732
gravity, -9.401688, -0.597370, 2.724301
gravity, -9.381939, -0.802354, 2.739681
gravity, -9.379284, -0.810548, 2.746350
gravity, -9.374001, -0.756148, 2.779701
gravity, -9.399355, -0.674348, 2.714362
gravity, -9.394035, -0.521509, 2.765956
gravity, -9.392781, -0.448008, 2.783046
gravity, -9.390219, -0.391134, 2.800215
gravity, -9.382128, -0.370900, 2.829929
gravity, -9.368786, -0.426084, 2.866129
gravity, -9.370885, -0.392715, 2.864030
gravity, -9.369645, -0.411386, 2.865466
gravity, -9.365876, -0.392994, 2.880332
gravity, -9.374577, -0.367445, 2.855289
gravity, -9.360270, -0.360586, 2.902711
gravity, -9.359601, -0.335935, 2.907816
