Sensor, X, Y, Z
gyroscope, -0.009872, -0.002681, 0.008949
gyroscope, -0.006042, 0.001363, 0.020027
gyroscope, -0.015854, 0.003072, 0.027687
gyroscope, -0.008820, 0.000508, 0.032814
gyroscope, -0.014999, -0.006725, 0.060295
gyroscope, -0.027359, -0.011852, 0.093315
gyroscope, -0.056107, -0.069591, 0.169167
gyroscope, -0.047806, -0.105373, 0.245216
gyroscope, -0.030975, -0.045085, 0.307640
gyroscope, -0.077850, 0.006688, 0.276970
gyroscope, -0.081039, -0.019298, 0.284416
gyroscope, -0.099365, -0.108363, 0.341515
gyroscope, -0.083389, -0.104518, 0.224342
gyroscope, -0.104477, -0.017177, 0.165535
gyroscope, -0.052063, 0.037587, 0.176414
gyroscope, 0.004395, 0.033742, 0.131660
gyroscope, -0.007111, 0.029912, 0.084801
gyroscope, -0.032257, 0.023091, 0.024925
gyroscope, -0.009888, 0.011159, 0.025780
gyroscope, -0.011169, -0.011424, -0.002983
gyroscope, -0.006470, -0.002040, 0.012993
gyroscope, 0.003540, -0.000560, -0.015984
gyroscope, -0.000931, 0.019902, -0.039421
gyroscope, 0.008865, -0.000346, -0.127403
gyroscope, 0.099838, 0.035451, -0.330666
gyroscope, 0.164810, 0.005406, -0.425682
gyroscope, 0.209351, 0.042699, -0.499611
gyroscope, 0.199982, 0.026707, -0.557350
gyroscope, 0.116882, 0.044392, -0.464027
gyroscope, 0.028687, -0.021434, -0.316170
gyroscope, 0.005035, 0.001363, -0.361122
gyroscope, 0.056808, -0.048915, -0.160423
gyroscope, 0.046570, -0.042308, -0.076698
gyroscope, 0.018448, -0.006740, 0.004051
gyroscope, 0.002258, 0.001363, 0.017677
gyroscope, 0.000565, 0.001576, 0.019173
gyroscope, 0.002258, -0.000346, 0.016823
gyroscope, 0.000763, 0.003911, 0.024284
gyroscope, -0.010941, -0.012279, 0.042183
gyroscope, -0.016052, -0.012706, 0.032387
gyroscope, 0.000763, -0.002895, 0.056236
gyroscope, -0.028412, -0.002269, 0.075203
gyroscope, -0.058884, -0.002895, 0.136345
gyroscope, -0.128342, -0.010143, 0.227333
gyroscope, -0.131531, 0.023518, 0.217949
gyroscope, -0.163712, 0.016072, 0.330223
gyroscope, -0.168396, -0.069789, 0.289330
gyroscope, -0.140701, -0.077464, 0.323402
gyroscope, -0.144531, -0.053172, 0.265678
gyroscope, -0.157318, -0.127956, 0.319359
gyroscope, -0.160507, -0.112193, 0.332146
gyroscope, -0.194382, -0.062556, 0.271217
gyroscope, -0.191193, -0.095363, 0.224129
gyroscope, -0.061859, -0.036128, 0.131874
