Sensor, X, Y, Z
linear accelerometer, -0.011806, -0.030910, 0.023129
linear accelerometer, 0.007934, -0.007442, 0.019069
linear accelerometer, -0.001562, -0.001680, 0.027156
linear accelerometer, 0.007512, -0.032673, 0.021210
linear accelerometer, -0.019130, -0.011210, 0.020439
linear accelerometer, 0.024779, -0.051329, -0.030691
linear accelerometer, -0.024528, -0.059533, 0.014636
linear accelerometer, -0.100702, -0.134436, -0.003853
linear accelerometer, -0.217857, 0.026652, -0.032676
linear accelerometer, -0.131158, -0.003301, -0.084468
linear accelerometer, -0.134251, -0.071877, -0.145325
linear accelerometer, -0.235785, -0.076140, -0.133459
linear accelerometer, -0.292914, 0.003355, -0.162536
linear accelerometer, -0.225503, -0.029173, 0.049500
linear accelerometer, -0.195602, 0.008807, -0.192168
linear accelerometer, -0.136897, 0.080008, -0.127176
linear accelerometer, -0.039008, 0.075716, -0.017868
linear accelerometer, -0.138801, -0.023995, -0.069207
linear accelerometer, -0.023720, 0.024145, -0.040723
linear accelerometer, -0.043353, -0.052495, 0.008355
linear accelerometer, -0.023270, -0.018705, -0.033651
linear accelerometer, -0.012617, -0.028306, 0.050246
linear accelerometer, 0.010992, 0.045135, -0.026077
linear accelerometer, -0.017253, 0.102811, -0.043814
linear accelerometer, 0.118340, 0.040985, 0.030508
linear accelerometer, 0.100432, 0.005279, 0.118260
linear accelerometer, 0.202987, 0.076792, 0.168677
linear accelerometer, 0.241759, 0.039002, 0.103138
linear accelerometer, 0.414733, 0.064101, 0.154333
linear accelerometer, 0.238256, 0.280883, 0.095982
linear accelerometer, 0.398932, 0.248823, 0.138592
linear accelerometer, 0.283538, 0.192062, 0.115555
linear accelerometer, 0.214560, 0.100652, 0.057297
linear accelerometer, 0.146602, 0.076113, 0.085491
linear accelerometer, 0.109342, 0.064019, 0.054769
linear accelerometer, 0.048939, 0.057886, 0.043353
linear accelerometer, 0.028348, 0.034846, 0.020148
linear accelerometer, 0.055113, 0.005936, 0.005049
linear accelerometer, -0.015355, 0.034777, 0.027009
linear accelerometer, -0.016740, 0.037138, -0.010303
