Sensor, X, Y, Z
magnetic, 37.962341, 34.252930, -7.635498
magnetic, 38.659668, 32.157898, -5.595398
magnetic, 37.263489, 32.157898, -4.237366
magnetic, 39.358521, 33.554077, -5.595398
magnetic, 38.659668, 32.157898, -4.237366
magnetic, 40.057373, 30.760193, -5.595398
magnetic, 39.358521, 32.855225, -6.275940
magnetic, 40.756226, 30.760193, -6.275940
magnetic, 41.453552, 28.665161, -4.916382
magnetic, 40.756226, 25.172424, -6.954956
magnetic, 44.247437, 23.077393, -4.916382
magnetic, 45.643616, 23.077393, -5.935669
magnetic, 45.993042, 19.935608, -6.275940
magnetic, 46.691895, 16.442871, -5.935669
magnetic, 47.041321, 14.347839, -7.295227
magnetic, 47.740173, 13.998413, -6.275940
magnetic, 48.439026, 12.252808, -6.954956
magnetic, 49.136353, 10.505676, -6.954956
magnetic, 49.136353, 10.156250, -6.274414
magnetic, 48.089600, 9.806824, -5.935669
magnetic, 48.437500, 9.458923, -5.595398
magnetic, 49.835205, 9.458923, -5.255127
magnetic, 48.786926, 9.806824, -5.935669
magnetic, 49.136353, 9.109497, -5.255127
magnetic, 49.485779, 11.204529, -5.935669
magnetic, 47.738647, 11.903381, -6.275940
magnetic, 48.089600, 16.442871, -5.595398
magnetic, 45.294189, 20.632935, -5.935669
magnetic, 43.548584, 24.824524, -6.614685
magnetic, 41.802979, 28.665161, -7.295227
magnetic, 39.009094, 32.856750, -7.295227
magnetic, 37.612915, 34.951782, -6.614685
magnetic, 36.215210, 36.697388, -7.295227
magnetic, 34.469604, 37.744141, -7.974243
magnetic, 34.469604, 37.046814, -7.295227
magnetic, 34.120178, 37.046814, -9.333801
magnetic, 34.469604, 37.396240, -8.654785
magnetic, 33.770752, 36.347961, -8.314514
magnetic, 34.469604, 36.347961, -8.654785
magnetic, 35.166931, 36.347961, -8.995056
magnetic, 35.168457, 36.347961, -8.314514
magnetic, 34.469604, 33.554077, -6.954956
magnetic, 34.469604, 34.951782, -8.314514
magnetic, 36.564636, 34.951782, -7.635498
magnetic, 37.962341, 34.951782, -6.954956
magnetic, 37.612915, 33.554077, -7.295227
magnetic, 40.057373, 32.157898, -5.255127
magnetic, 41.453552, 28.665161, -4.237366
magnetic, 43.200684, 25.871277, -4.916382
magnetic, 45.643616, 23.776245, -4.916382
magnetic, 46.342468, 21.331787, -5.255127
magnetic, 47.041321, 19.586182, -6.614685
magnetic, 48.437500, 15.046692, -6.275940
magnetic, 47.740173, 13.299561, -5.935669
magnetic, 47.390747, 11.553955, -7.295227
magnetic, 48.439026, 11.204529, -6.954956
magnetic, 47.390747, 10.505676, -8.314514
magnetic, 49.485779, 10.505676, -7.635498
magnetic, 49.485779, 9.808350, -7.974243
magnetic, 49.136353, 10.855103, -7.974243
magnetic, 49.136353, 11.553955, -6.954956
magnetic, 46.342468, 12.252808, -8.314514
magnetic, 47.041321, 15.045166, -7.633972
magnetic, 46.691895, 17.491150, -7.295227
magnetic, 45.993042, 19.935608, -7.295227
magnetic, 45.294189, 21.681213, -7.295227
magnetic, 44.596863, 24.475098, -5.255127
magnetic, 42.152405, 26.919556, -6.614685
magnetic, 40.754700, 29.014587, -7.635498
magnetic, 39.707947, 32.157898, -7.633972
magnetic, 36.914063, 34.252930, -10.014343
magnetic, 35.865784, 34.951782, -11.712646
magnetic, 35.517883, 34.602356, -11.712646
magnetic, 36.564636, 35.301208, -11.712646
magnetic, 36.215210, 34.602356, -11.373901
magnetic, 35.517883, 35.301208, -10.353088
magnetic, 35.865784, 34.602356, -11.712646
magnetic, 35.865784, 34.602356, -10.353088
magnetic, 35.168457, 33.554077, -10.693359
magnetic, 35.517883, 34.252930, -11.033630
magnetic, 37.962341, 33.554077, -11.712646
magnetic, 37.263489, 33.554077, -10.354614
magnetic, 37.263489, 32.157898, -9.674072
magnetic, 39.358521, 31.459045, -9.674072
magnetic, 41.453552, 30.061340, -6.954956
magnetic, 43.550110, 25.172424, -6.275940
magnetic, 45.294189, 25.172424, -8.654785
magnetic, 44.247437, 23.077393, -7.633972
magnetic, 45.643616, 19.586182, -8.995056
magnetic, 46.691895, 15.046692, -8.314514
magnetic, 47.041321, 11.903381, -7.974243
magnetic, 49.136353, 10.505676, -7.633972
magnetic, 48.437500, 8.410645, -8.995056
magnetic, 48.439026, 9.109497, -8.314514
magnetic, 48.439026, 9.109497, -8.995056
magnetic, 48.786926, 10.855103, -8.993530
magnetic, 47.740173, 10.156250, -8.654785
magnetic, 47.390747, 13.299561, -6.274414
magnetic, 47.740173, 16.792297, -7.974243
magnetic, 46.691895, 19.935608, -6.954956
magnetic, 44.596863, 23.078918, -6.954956
magnetic, 43.200684, 26.570129, -7.295227
magnetic, 40.406799, 30.410767, -8.314514
magnetic, 38.310242, 32.157898, -8.654785
magnetic, 38.659668, 32.856750, -10.693359
magnetic, 36.564636, 35.301208, -10.354614
magnetic, 36.914063, 33.903503, -10.353088
magnetic, 36.914063, 34.252930, -8.995056
magnetic, 36.914063, 33.554077, -9.674072
magnetic, 36.564636, 34.602356, -9.333801
magnetic, 37.612915, 33.204651, -9.674072
magnetic, 36.564636, 33.903503, -9.674072
magnetic, 36.914063, 33.204651, -9.674072
magnetic, 37.962341, 32.855225, -10.014343
magnetic, 37.263489, 32.855225, -10.014343
magnetic, 36.564636, 32.507324, -10.353088
magnetic, 36.215210, 32.856750, -9.674072
magnetic, 37.962341, 33.554077, -10.353088
magnetic, 37.263489, 33.903503, -9.333801
magnetic, 37.962341, 34.252930, -10.693359
magnetic, 36.564636, 34.252930, -10.354614
