Sensor, X, Y, Z
orientation angles, -0.064161, 0.027457, 1.375926
orientation angles, -0.098355, 0.024114, 1.375263
orientation angles, -0.066430, 0.019315, 1.374692
orientation angles, -0.107638, 0.014741, 1.373761
orientation angles, -0.079546, 0.003943, 1.371663
orientation angles, -0.050518, -0.011110, 1.370420
orientation angles, -0.079341, -0.038916, 1.355618
orientation angles, -0.132992, -0.038916, 1.355618
orientation angles, -0.106392, -0.143490, 1.322117
orientation angles, -0.207142, -0.143490, 1.322117
orientation angles, -0.179507, -0.243763, 1.309389
orientation angles, -0.218868, -0.304466, 1.277540
orientation angles, -0.288110, -0.341714, 1.248146
orientation angles, -0.266940, -0.341714, 1.248146
orientation angles, -0.307060, -0.391063, 1.235094
orientation angles, -0.306878, -0.391063, 1.235094
orientation angles, -0.284294, -0.436590, 1.251585
orientation angles, -0.297790, -0.436105, 1.258269
orientation angles, -0.298764, -0.441325, 1.261280
orientation angles, -0.320580, -0.436986, 1.258359
orientation angles, -0.336850, -0.438063, 1.259019
orientation angles, -0.311633, -0.433488, 1.257398
orientation angles, -0.341212, -0.433488, 1.257398
orientation angles, -0.293394, -0.408635, 1.270024
orientation angles, -0.252085, -0.350361, 1.292296
orientation angles, -0.236841, -0.277340, 1.310219
orientation angles, -0.167577, -0.190724, 1.333382
orientation angles, -0.111167, -0.090867, 1.347238
orientation angles, -0.059946, -0.005072, 1.357164
orientation angles, -0.044263, 0.054566, 1.351710
orientation angles, -0.060265, 0.124300, 1.349374
orientation angles, -0.026266, 0.124300, 1.349374
orientation angles, -0.026088, 0.161968, 1.320186
orientation angles, -0.056371, 0.157538, 1.312453
orientation angles, 0.005734, 0.151578, 1.308843
orientation angles, -0.020272, 0.145280, 1.306622
orientation angles, -0.026912, 0.140312, 1.305298
orientation angles, -0.022215, 0.135631, 1.305284
orientation angles, -0.020830, 0.126181, 1.302308
orientation angles, -0.042667, 0.118864, 1.301051
orientation angles, -0.084925, 0.118864, 1.301051
orientation angles, -0.038482, 0.109154, 1.300565
orientation angles, -0.077446, 0.097663, 1.300172
orientation angles, -0.096775, 0.039383, 1.305461
orientation angles, -0.087940, 0.039383, 1.305461
orientation angles, -0.161328, 0.008276, 1.311799
orientation angles, -0.215575, -0.094718, 1.297725
orientation angles, -0.239023, -0.149103, 1.277509
orientation angles, -0.275214, -0.187065, 1.267033
orientation angles, -0.320971, -0.237547, 1.231924
orientation angles, -0.333868, -0.288764, 1.195794
orientation angles, -0.426605, -0.324457, 1.166325
orientation angles, -0.489828, -0.350965, 1.129240
orientation angles, -0.473529, -0.350965, 1.129240
orientation angles, -0.501021, -0.381990, 1.112571
orientation angles, -0.473922, -0.390495, 1.102488
orientation angles, -0.513577, -0.392198, 1.098249
orientation angles, -0.510049, -0.391009, 1.101821
orientation angles, -0.492740, -0.391009, 1.101821
orientation angles, -0.492869, -0.386751, 1.116568
orientation angles, -0.394352, -0.314254, 1.163005
orientation angles, -0.363139, -0.264372, 1.195463
orientation angles, -0.324521, -0.229534, 1.218224
orientation angles, -0.274206, -0.202580, 1.238913
orientation angles, -0.253581, -0.202580, 1.238913
orientation angles, -0.253698, -0.111438, 1.283825
orientation angles, -0.172609, -0.059032, 1.294838
orientation angles, -0.112255, -0.005415, 1.306016
orientation angles, -0.096849, 0.042944, 1.307762
orientation angles, -0.005221, 0.074956, 1.301613
orientation angles, 0.054659, 0.074956, 1.301613
orientation angles, 0.030673, 0.095042, 1.277610
orientation angles, 0.020491, 0.095042, 1.277610
orientation angles, 0.005712, 0.086425, 1.271182
orientation angles, -0.016984, 0.082794, 1.272417
orientation angles, 0.020773, 0.082794, 1.272417
orientation angles, -0.023042, 0.075686, 1.270214
orientation angles, -0.009662, 0.066669, 1.267461
orientation angles, -0.001140, 0.054818, 1.270631
orientation angles, -0.035873, 0.054818, 1.270631
orientation angles, -0.052069, 0.017891, 1.274184
orientation angles, -0.088318, -0.013864, 1.259775
orientation angles, -0.195443, -0.013864, 1.259775
orientation angles, -0.275555, -0.081414, 1.242795
orientation angles, -0.251773, -0.158217, 1.202490
orientation angles, -0.288083, -0.158217, 1.202490
orientation angles, -0.351886, -0.267000, 1.130686
orientation angles, -0.417983, -0.341205, 1.115298
orientation angles, -0.471731, -0.341205, 1.115298
orientation angles, -0.513793, -0.372968, 1.104881
orientation angles, -0.491825, -0.396412, 1.100494
orientation angles, -0.488213, -0.419338, 1.099852
orientation angles, -0.466786, -0.416712, 1.102400
orientation angles, -0.445407, -0.410493, 1.106012
orientation angles, -0.441747, -0.383628, 1.125745
orientation angles, -0.445012, -0.322791, 1.164280
orientation angles, -0.337906, -0.255248, 1.199034
orientation angles, -0.302076, -0.206323, 1.230280
orientation angles, -0.242058, -0.141964, 1.255946
orientation angles, -0.194973, -0.058198, 1.272181
orientation angles, -0.108142, -0.004460, 1.287258
orientation angles, -0.076726, 0.024929, 1.287563
orientation angles, -0.016848, 0.024929, 1.287563
orientation angles, -0.009662, 0.081909, 1.286680
orientation angles, -0.014283, 0.082747, 1.285949
orientation angles, -0.056094, 0.082747, 1.285949
orientation angles, -0.030696, 0.068819, 1.289663
orientation angles, -0.042186, 0.053204, 1.284451
orientation angles, -0.043183, 0.053204, 1.284451
orientation angles, -0.034587, 0.045700, 1.282741
orientation angles, -0.040357, 0.039895, 1.280987
orientation angles, -0.043836, 0.037830, 1.277845
orientation angles, -0.041993, 0.040057, 1.274182
orientation angles, -0.025671, 0.041962, 1.274005
orientation angles, -0.044616, 0.040085, 1.272441
orientation angles, -0.039517, 0.040085, 1.272441
orientation angles, -0.065267, 0.036778, 1.270091
orientation angles, -0.031955, 0.034263, 1.269573
