Sensor, X, Y, Z
gravity, -9.773937, -0.137569, 0.788427
gravity, -9.771163, -0.107072, 0.826611
gravity, -9.770070, -0.089656, 0.841474
gravity, -9.766732, -0.106665, 0.877473
gravity, -9.765140, -0.105511, 0.895158
gravity, -9.763451, -0.095887, 0.914454
gravity, -9.760054, -0.143500, 0.944008
gravity, -9.754597, -0.389324, 0.930947
gravity, -9.741440, -0.767453, 0.828102
gravity, -9.706564, -1.154250, 0.787847
gravity, -9.626529, -1.668123, 0.847163
gravity, -9.471035, -2.331926, 1.015867
gravity, -9.323357, -2.858525, 1.036459
gravity, -9.150021, -3.359800, 1.076682
gravity, -8.988577, -3.775958, 1.057354
gravity, -8.850574, -4.088440, 1.059435
gravity, -8.715510, -4.345782, 1.150851
gravity, -8.663557, -4.439919, 1.183339
gravity, -8.637341, -4.479320, 1.225727
gravity, -8.640287, -4.464043, 1.260212
gravity, -8.622857, -4.490526, 1.285265
gravity, -8.646130, -4.444456, 1.289055
gravity, -8.740934, -4.269386, 1.240473
gravity, -8.849043, -4.052777, 1.199929
gravity, -9.047867, -3.614459, 1.114530
gravity, -9.310141, -2.946061, 0.901331
gravity, -9.529596, -2.153681, 0.847841
gravity, -9.639789, -1.540592, 0.933503
gravity, -9.719379, -0.748293, 1.069633
gravity, -9.737550, -0.004158, 1.162108
gravity, -9.734256, 0.261709, 1.160244
gravity, -9.704113, 0.562063, 1.297937
gravity, -9.672622, 0.745979, 1.433278
gravity, -9.654486, 0.782660, 1.532558
gravity, -9.637467, 0.880782, 1.585501
gravity, -9.642823, 0.847618, 1.570953
gravity, -9.644112, 0.831794, 1.571503
gravity, -9.653410, 0.779170, 1.541088
gravity, -9.657394, 0.816417, 1.496191
gravity, -9.662268, 0.784014, 1.481993
gravity, -9.663082, 0.765254, 1.486478
gravity, -9.665441, 0.749263, 1.479279
gravity, -9.664599, 0.739106, 1.489838
gravity, -9.696861, 0.528361, 1.364585
gravity, -9.720744, 0.019240, 1.295048
gravity, -9.704089, -0.543294, 1.306087
gravity, -9.653664, -1.130646, 1.303377
gravity, -9.563219, -1.707488, 1.341536
gravity, -9.410269, -2.342877, 1.458820
gravity, -9.215245, -2.952383, 1.591566
gravity, -9.004400, -3.447904, 1.789731
gravity, -8.770437, -3.901878, 2.006278
gravity, -8.631373, -4.123764, 2.159714
gravity, -8.618535, -4.142094, 2.175845
gravity, -8.626621, -4.135869, 2.155546
gravity, -8.644502, -4.092096, 2.167424
gravity, -8.752081, -3.889360, 2.108161
gravity, -9.005833, -3.369306, 1.926953
gravity, -9.312974, -2.522141, 1.754337
gravity, -9.526310, -1.603994, 1.687315
gravity, -9.662613, -0.581118, 1.570544
gravity, -9.692556, 0.287561, 1.463578
gravity, -9.669583, 0.724693, 1.464366
gravity, -9.618641, 1.212312, 1.477309
gravity, -9.589892, 1.412448, 1.486384
gravity, -9.582017, 1.437320, 1.513096
gravity, -9.585703, 1.391543, 1.532419
gravity, -9.592391, 1.392516, 1.489065
gravity, -9.607199, 1.329099, 1.451069
gravity, -9.619418, 1.266613, 1.425787
gravity, -9.654816, 1.006910, 1.393218
gravity, -9.697036, 0.591087, 1.337348
gravity, -9.714678, 0.229002, 1.320223
gravity, -9.718580, -0.041646, 1.310671
gravity, -9.691592, -0.578551, 1.381566
gravity, -9.608467, -1.212398, 1.542018
gravity, -9.458216, -1.919221, 1.740437
gravity, -9.195062, -2.787314, 1.962679
gravity, -8.873608, -3.436020, 2.371340
gravity, -8.627412, -3.879869, 2.585492
gravity, -8.488211, -4.096262, 2.709486
gravity, -8.404519, -4.214871, 2.787347
gravity, -8.402557, -4.224373, 2.778865
gravity, -8.585886, -3.939613, 2.632945
gravity, -8.915706, -3.373253, 2.302554
gravity, -9.208649, -2.609073, 2.136332
gravity, -9.476401, -1.579413, 1.968162
gravity, -9.617210, -0.677249, 1.794709
gravity, -9.654767, 0.178844, 1.709939
gravity, -9.607805, 0.973952, 1.706425
gravity, -9.566063, 1.297921, 1.725173
gravity, -9.565329, 1.310344, 1.719846
gravity, -9.557824, 1.319357, 1.754331
gravity, -9.568360, 1.306556, 1.705808
gravity, -9.565462, 1.295895, 1.730022
gravity, -9.565021, 1.262530, 1.756928
gravity, -9.571623, 1.223345, 1.748667
gravity, -9.578473, 1.190249, 1.733939
gravity, -9.586678, 1.165676, 1.705052
gravity, -9.582400, 1.158980, 1.733428
gravity, -9.580119, 1.152000, 1.750599
gravity, -9.575899, 1.188347, 1.749395
gravity, -9.571680, 1.168675, 1.785365
