Sensor, X, Y, Z
gyroscope,-0.011154,-0.015895,-0.014061
gyroscope,-0.00029,-0.006313,-0.001701
gyroscope,0.006729,0.004338,-0.003197
gyroscope,-0.005615,-0.011638,-0.013634
gyroscope,-0.00029,-0.007579,-0.002129
gyroscope,-0.001999,-0.006313,-0.004478
gyroscope,0.033585,-0.006313,-0.050285
gyroscope,0.112839,0.01627,-0.144875
gyroscope,0.139893,0.06165,-0.203468
gyroscope,0.098984,0.039494,-0.212624
gyroscope,0.156937,-0.006938,-0.277611
gyroscope,0.181015,-0.045726,-0.360481
gyroscope,0.135208,0.028844,-0.291039
gyroscope,0.091949,0.012013,-0.278252
gyroscope,-0.031189,0.001363,-0.221581
gyroscope,0.056595,0.043126,-0.180031
gyroscope,0.078323,0.00414,-0.138069
gyroscope,0.026978,0.003072,-0.055397
gyroscope,0.018661,-0.001613,-0.013847
gyroscope,-0.000717,-0.010143,0.005959
gyroscope,-0.007111,-0.008434,-0.01577
gyroscope,-0.016708,0.003285,0.045815
gyroscope,-0.038223,0.008824,0.109291
gyroscope,-0.03949,-0.007152,0.134865
gyroscope,-0.07869,0.013936,0.252037
gyroscope,-0.105331,0.076787,0.370705
gyroscope,-0.182449,-0.022929,0.429298
gyroscope,-0.162857,-0.077678,0.331932
gyroscope,-0.141541,-0.090465,0.415245
gyroscope,-0.165833,-0.077892,0.392876
gyroscope,-0.094681,-0.025066,0.155952
gyroscope,-0.065491,-0.069164,0.161064
gyroscope,-0.034164,-0.083003,0.109505
gyroscope,-0.017975,-0.064891,0.038994
gyroscope,-0.02565,-0.036769,0.05262
gyroscope,-0.012436,-0.002254,-0.014702
gyroscope,0.003967,-0.006526,-0.000633
gyroscope,0.017822,0.010106,-0.016411
gyroscope,0.004822,0.016911,0.015129
gyroscope,0.002686,0.004353,-0.016197
gyroscope,0.002472,-0.001826,-0.008949
gyroscope,0.002472,0.00414,-0.011513
gyroscope,0.021652,-0.005672,-0.025993
gyroscope,0.114746,0.057393,-0.126335
gyroscope,0.162689,0.033742,-0.281227
gyroscope,0.076614,-0.00204,-0.300835
gyroscope,0.064896,0.009038,-0.309578
gyroscope,0.061279,-0.00822,-0.309151
gyroscope,0.119659,-0.033794,-0.349831
gyroscope,0.147568,-0.024852,-0.35154
gyroscope,0.117737,-0.061275,-0.294655
gyroscope,0.070862,-0.08662,-0.266319
gyroscope,0.066177,-0.022289,-0.152763
gyroscope,0.012283,0.011586,-0.041344
gyroscope,-0.009033,0.014363,0.004906
gyroscope,-0.016693,-0.002681,0.024925
gyroscope,-0.029266,0.018407,0.118874
gyroscope,-0.111511,0.05547,0.322136
gyroscope,-0.267471,0.009679,0.515373
gyroscope,-0.129196,0.006261,0.501945
gyroscope,-0.190125,0.033742,0.575874
gyroscope,-0.287704,0.049092,0.487038
gyroscope,-0.147095,-0.029323,0.271004
gyroscope,-0.202484,0.012227,0.275475
gyroscope,-0.0802,-0.019313,0.109505
gyroscope,-0.025223,-0.02505,0.019386
gyroscope,-0.018829,-0.012263,-0.014061
gyroscope,0.019516,0.01627,0.002556
gyroscope,0.029953,0.006047,-0.030891
gyroscope,0.03273,0.000508,-0.056465
gyroscope,0.08812,0.007542,-0.147224
gyroscope,0.116882,0.019902,-0.22541
gyroscope,0.127106,0.013509,-0.20623
gyroscope,0.169724,0.016911,-0.172569
gyroscope,0.270493,-0.023341,-0.312553
gyroscope,0.27327,-0.054881,-0.364326
gyroscope,0.155243,-0.074702,-0.396919
gyroscope,0.086197,-0.095576,-0.481499
gyroscope,0.105164,-0.180797,-0.378593
gyroscope,0.10347,-0.075114,-0.285713
gyroscope,0.053604,-0.005458,-0.13401
gyroscope,0.022507,0.001149,-0.052406
gyroscope,-0.027985,0.006047,0.01342
gyroscope,-0.088287,0.043553,0.197289
gyroscope,-0.17926,0.111943,0.365807
gyroscope,-0.165833,0.036946,0.459129
gyroscope,-0.219315,0.039708,0.591866
gyroscope,-0.274277,0.056966,0.516869
gyroscope,-0.228256,0.035664,0.482353
gyroscope,-0.159027,0.006261,0.436119
gyroscope,-0.085083,-0.036342,0.161919
gyroscope,-0.021606,-0.022075,0.033653
gyroscope,-0.014786,-0.016536,0.010017
gyroscope,0.00354,-0.001186,0.005318
gyroscope,-0.022232,-0.008434,0.000633
gyroscope,-0.001572,-0.013332,-0.018105
gyroscope,-0.012222,0.002217,-0.012993
gyroscope,-0.000931,0.003285,-0.00959
gyroscope,-0.000504,0.00179,-0.004906
gyroscope,-0.001358,-0.012904,-0.001701
gyroscope,-0.012009,-0.008861,-0.002129
gyroscope,-0.004349,-0.005244,0.005547
gyroscope,-0.001358,-0.015041,-0.003197
