Sensor, X, Y, Z
linear accelerometer, -0.037945, 0.088364, 0.071566
linear accelerometer, -0.047235, 0.069972, 0.058197
linear accelerometer, -0.006879, 0.046878, 0.049659
linear accelerometer, -0.004560, 0.022138, 0.028286
linear accelerometer, -0.004344, 0.010804, 0.006216
linear accelerometer, -0.004951, 0.038985, 0.015029
linear accelerometer, -0.043533, 0.093549, 0.038301
linear accelerometer, 0.005811, 0.037070, 0.026095
linear accelerometer, 0.061119, -0.069890, 0.036006
linear accelerometer, 0.083169, 0.038573, 0.031368
linear accelerometer, 0.095423, 0.102506, 0.002012
linear accelerometer, 0.239317, -0.113121, 0.162252
linear accelerometer, 0.170581, -0.038739, 0.073319
linear accelerometer, 0.134732, -0.006480, 0.092848
linear accelerometer, 0.122451, -0.082877, 0.120026
linear accelerometer, 0.203273, 0.095313, 0.048302
linear accelerometer, 0.100856, -0.037465, 0.060304
linear accelerometer, 0.067092, 0.022794, 0.020751
linear accelerometer, 0.079349, -0.014111, 0.039444
linear accelerometer, 0.058720, 0.040431, 0.027278
linear accelerometer, 0.020810, 0.014824, 0.031493
linear accelerometer, 0.030849, -0.066228, 0.051620
linear accelerometer, 0.003412, -0.010977, -0.000018
linear accelerometer, -0.012666, -0.034731, -0.038693
linear accelerometer, -0.070210, 0.021448, 0.016276
linear accelerometer, 0.048860, 0.104339, -0.032632
linear accelerometer, -0.079561, 0.162122, -0.078505
linear accelerometer, -0.161661, -0.011402, -0.067582
linear accelerometer, -0.295870, 0.185156, -0.104962
linear accelerometer, -0.172275, 0.015584, -0.080907
linear accelerometer, -0.128162, -0.029172, -0.097358
linear accelerometer, -0.162097, 0.025691, -0.038631
linear accelerometer, -0.162243, -0.031229, -0.042593
linear accelerometer, -0.101844, -0.064909, -0.050012
linear accelerometer, -0.083632, 0.015886, -0.034717
linear accelerometer, -0.049295, 0.001867, -0.037846
linear accelerometer, -0.020097, -0.032871, -0.022151
linear accelerometer, -0.036204, -0.053885, -0.012051
linear accelerometer, -0.020682, 0.014480, -0.021126
linear accelerometer, 0.006729, -0.004782, -0.012657
linear accelerometer, -0.018595, -0.003058, 0.005508
linear accelerometer, 0.025638, 0.009241, -0.001373
linear accelerometer, -0.012753, 0.073007, 0.008528
linear accelerometer, 0.007553, 0.047303, 0.024953
linear accelerometer, 0.105903, -0.049498, 0.105302
linear accelerometer, 0.090690, 0.126554, 0.065345
linear accelerometer, 0.209767, 0.051730, 0.054837
linear accelerometer, 0.271519, 0.106389, 0.060150
linear accelerometer, 0.172920, 0.030304, 0.042910
linear accelerometer, 0.200512, 0.159665, 0.103610
linear accelerometer, 0.148005, 0.165500, 0.168616
linear accelerometer, 0.198220, -0.010262, 0.152304
linear accelerometer, 0.196206, 0.124932, 0.081860
linear accelerometer, 0.017086, 0.124691, 0.040965
linear accelerometer, 0.085710, 0.041711, 0.005066
linear accelerometer, 0.043436, 0.034275, 0.033534
linear accelerometer, -0.005505, 0.015487, -0.007780
linear accelerometer, 0.010163, -0.247403, 0.001876
linear accelerometer, 0.079606, -0.116514, 0.048023
linear accelerometer, 0.066530, 0.021981, 0.015496
linear accelerometer, -0.232792, -0.375377, -0.193806
linear accelerometer, -0.104655, 0.126524, -0.081204
linear accelerometer, -0.200032, -0.085408, -0.122965
linear accelerometer, -0.176610, 0.194740, -0.036607
linear accelerometer, -0.174028, 0.052654, -0.076989
linear accelerometer, -0.084781, 0.000200, -0.049366
linear accelerometer, -0.020262, -0.025727, -0.018627
linear accelerometer, -0.046111, -0.015625, -0.006902
linear accelerometer, -0.031430, -0.024813, -0.035264
linear accelerometer, -0.045906, 0.085400, -0.026113
linear accelerometer, 0.005281, 0.018786, 0.045000
linear accelerometer, 0.055778, -0.149172, 0.034369
linear accelerometer, 0.056493, 0.011123, 0.034312
linear accelerometer, 0.063581, 0.047843, 0.047318
linear accelerometer, 0.205961, 0.040698, 0.143879
linear accelerometer, 0.135889, -0.097720, 0.082664
linear accelerometer, 0.261208, 0.147382, 0.103459
linear accelerometer, 0.253849, 0.183642, -0.000440
linear accelerometer, 0.185618, 0.085872, 0.152469
linear accelerometer, 0.137720, 0.121958, 0.098315
linear accelerometer, 0.222253, 0.049268, 0.098599
linear accelerometer, 0.156700, -0.050993, 0.103322
linear accelerometer, 0.090966, -0.006712, 0.034343
linear accelerometer, -0.018373, -0.129628, 0.046302
linear accelerometer, 0.119031, 0.144153, 0.012834
linear accelerometer, -0.016786, 0.133939, -0.005956
linear accelerometer, -0.069776, 0.092691, -0.004802
linear accelerometer, -0.128482, 0.213518, -0.032758
linear accelerometer, -0.162772, -0.009211, -0.044413
linear accelerometer, -0.113573, 0.067695, -0.162553
linear accelerometer, -0.133014, 0.100595, -0.125620
linear accelerometer, -0.164432, -0.075854, -0.088217
linear accelerometer, -0.176395, -0.086284, -0.002100
linear accelerometer, -0.156805, -0.033439, -0.081385
linear accelerometer, -0.034192, -0.084265, 0.046322
linear accelerometer, -0.025603, 0.007221, 0.006578
linear accelerometer, -0.036201, -0.016669, -0.009349
linear accelerometer, -0.018426, -0.029712, -0.016456
linear accelerometer, -0.055280, -0.027071, -0.046852
linear accelerometer, -0.038654, -0.001961, 0.013342
linear accelerometer, -0.009583, 0.003364, -0.004014
linear accelerometer, -0.009837, 0.058907, -0.024141
linear accelerometer, -0.005401, -0.027670, 0.014922
