Sensor, X, Y, Z
orientation angles, -0.054337, 0.014029, 1.490304
orientation angles, -0.035945, 0.010919, 1.486400
orientation angles, -0.052935, 0.009142, 1.484881
orientation angles, -0.015869, 0.009142, 1.484881
orientation angles, -0.043760, 0.010759, 1.479383
orientation angles, -0.055442, 0.009778, 1.477408
orientation angles, -0.072010, 0.014633, 1.474375
orientation angles, -0.031985, 0.039710, 1.475648
orientation angles, -0.008902, 0.078339, 1.485992
orientation angles, 0.008148, 0.117974, 1.489807
orientation angles, 0.048548, 0.170932, 1.483019
orientation angles, 0.112826, 0.240090, 1.463944
orientation angles, 0.152404, 0.295782, 1.460083
orientation angles, 0.145356, 0.295782, 1.460083
orientation angles, 0.172718, 0.395252, 1.453701
orientation angles, 0.170489, 0.430037, 1.451661
orientation angles, 0.137797, 0.459105, 1.439510
orientation angles, 0.196905, 0.469842, 1.435048
orientation angles, 0.186056, 0.469842, 1.435048
orientation angles, 0.190415, 0.474354, 1.429827
orientation angles, 0.163818, 0.475639, 1.422832
orientation angles, 0.181715, 0.475639, 1.422832
orientation angles, 0.175739, 0.450434, 1.429822
orientation angles, 0.145413, 0.450434, 1.429822
orientation angles, 0.117921, 0.426040, 1.436019
orientation angles, 0.098505, 0.305127, 1.474285
orientation angles, 0.054342, 0.221419, 1.482061
orientation angles, 0.004991, 0.221419, 1.482061
orientation angles, 0.032846, 0.157750, 1.474259
orientation angles, -0.043023, 0.076379, 1.461186
orientation angles, -0.069697, -0.026690, 1.452164
orientation angles, -0.071261, -0.057346, 1.437834
orientation angles, -0.059290, -0.076142, 1.423688
orientation angles, -0.076544, -0.079894, 1.413369
orientation angles, -0.091051, -0.089936, 1.407743
orientation angles, -0.102746, -0.086541, 1.409301
orientation angles, -0.050017, -0.084921, 1.409266
orientation angles, -0.059446, -0.084921, 1.409266
orientation angles, -0.088321, -0.079537, 1.412490
orientation angles, -0.098634, -0.080033, 1.418603
orientation angles, -0.064039, -0.078114, 1.418162
orientation angles, -0.040143, -0.078114, 1.418162
orientation angles, -0.090044, -0.075439, 1.417846
orientation angles, -0.031119, -0.053904, 1.430990
orientation angles, -0.041249, -0.053904, 1.430990
orientation angles, 0.015530, -0.001962, 1.438351
orientation angles, -0.002810, 0.055429, 1.437009
orientation angles, 0.070689, 0.115551, 1.436594
orientation angles, 0.065786, 0.241240, 1.416996
orientation angles, 0.094011, 0.305803, 1.399773
orientation angles, 0.152191, 0.359267, 1.374592
orientation angles, 0.140812, 0.409206, 1.345911
orientation angles, 0.201468, 0.409206, 1.345911
orientation angles, 0.194216, 0.434004, 1.325614
orientation angles, 0.166508, 0.435365, 1.325939
orientation angles, 0.166277, 0.435365, 1.325939
orientation angles, 0.190666, 0.407815, 1.334424
orientation angles, 0.160436, 0.350719, 1.360008
orientation angles, 0.093375, 0.260110, 1.384603
orientation angles, 0.087914, 0.164300, 1.395493
orientation angles, 0.014253, 0.059292, 1.409667
orientation angles, -0.044553, -0.029327, 1.420928
orientation angles, -0.086551, -0.029327, 1.420928
orientation angles, -0.111672, -0.073966, 1.420498
orientation angles, -0.151053, -0.123938, 1.418399
orientation angles, -0.134823, -0.147096, 1.414180
orientation angles, -0.153279, -0.142378, 1.412273
orientation angles, -0.146965, -0.142378, 1.412273
orientation angles, -0.186052, -0.142479, 1.416792
orientation angles, -0.142944, -0.129520, 1.423648
orientation angles, -0.112770, -0.102858, 1.427483
orientation angles, -0.098162, -0.060311, 1.433748
orientation angles, -0.088662, -0.060311, 1.433748
orientation angles, -0.056895, 0.004247, 1.436743
orientation angles, -0.063322, 0.059030, 1.429197
orientation angles, 0.053611, 0.059030, 1.429197
orientation angles, 0.081119, 0.196977, 1.388819
orientation angles, 0.116362, 0.288200, 1.360503
orientation angles, 0.171705, 0.357973, 1.309663
orientation angles, 0.217470, 0.357973, 1.309663
orientation angles, 0.211981, 0.430915, 1.261814
orientation angles, 0.234799, 0.430915, 1.261814
orientation angles, 0.251982, 0.444268, 1.250563
orientation angles, 0.238994, 0.413404, 1.273241
orientation angles, 0.205579, 0.351148, 1.318061
orientation angles, 0.135139, 0.351148, 1.318061
orientation angles, 0.077569, 0.161760, 1.366017
orientation angles, -0.011230, 0.161760, 1.366017
orientation angles, -0.038714, 0.069115, 1.386304
orientation angles, -0.129627, -0.018238, 1.395506
orientation angles, -0.137009, -0.099479, 1.395021
orientation angles, -0.116850, -0.134019, 1.392897
orientation angles, -0.126278, -0.134946, 1.389268
orientation angles, -0.112387, -0.133629, 1.394374
orientation angles, -0.142538, -0.132532, 1.391869
orientation angles, -0.109983, -0.132532, 1.391869
orientation angles, -0.142317, -0.129101, 1.389139
orientation angles, -0.147297, -0.121672, 1.391711
orientation angles, -0.154196, -0.119148, 1.394781
orientation angles, -0.125179, -0.118460, 1.391835
orientation angles, -0.135145, -0.117743, 1.390058
orientation angles, -0.144567, -0.121476, 1.390102
orientation angles, -0.070765, -0.119456, 1.386390
