Sensor, X, Y, Z
gravity, -9.694680, -0.689459, 1.306984
gravity, -9.692974, -0.691552, 1.318485
gravity, -9.693443, -0.682309, 1.319850
gravity, -9.692743, -0.680630, 1.325841
gravity, -9.692917, -0.673813, 1.328053
gravity, -9.691005, -0.689901, 1.333737
gravity, -9.690975, -0.693629, 1.332016
gravity, -9.688505, -0.717511, 1.337321
gravity, -9.686029, -0.760048, 1.331752
gravity, -9.689217, -0.785238, 1.293394
gravity, -9.676500, -0.898696, 1.314561
gravity, -9.679222, -0.976682, 1.236581
gravity, -9.705216, -0.924498, 1.060407
gravity, -9.739058, -0.653143, 0.945789
gravity, -9.722436, -0.596703, 1.135153
gravity, -9.743270, -0.535835, 0.975682
gravity, -9.768028, -0.400679, 0.771670
gravity, -9.772714, -0.427919, 0.693770
gravity, -9.787111, -0.286928, 0.548193
gravity, -9.791877, -0.197045, 0.500719
gravity, -9.794632, -0.137812, 0.465368
gravity, -9.796879, -0.110268, 0.423546
gravity, -9.796939, -0.113912, 0.421193
gravity, -9.797657, -0.095109, 0.408977
gravity, -9.797941, -0.092054, 0.402810
gravity, -9.798647, -0.031088, 0.394883
gravity, -9.798087, -0.010544, 0.409597
gravity, -9.799959, -0.040351, 0.359938
gravity, -9.801613, 0.092842, 0.300269
gravity, -9.798874, -0.046656, 0.387654
gravity, -9.792115, -0.159797, 0.509242
gravity, -9.774045, -0.298683, 0.741108
gravity, -9.759800, -0.407665, 0.866308
gravity, -9.753244, -0.429417, 0.927475
gravity, -9.739237, -0.387224, 1.080610
gravity, -9.715795, -0.455102, 1.251639
gravity, -9.698606, -0.503755, 1.361501
gravity, -9.678713, -0.567212, 1.473486
gravity, -9.678789, -0.522051, 1.489588
gravity, -9.675491, -0.542855, 1.503516
gravity, -9.676629, -0.546248, 1.494941
gravity, -9.670321, -0.565815, 1.528117
gravity, -9.663332, -0.574592, 1.568523
gravity, -9.659431, -0.630985, 1.570879
gravity, -9.672830, -0.641489, 1.481637
gravity, -9.681367, -0.525441, 1.471540
gravity, -9.695301, -0.439093, 1.406668
gravity, -9.695888, -0.409614, 1.411513
gravity, -9.711668, -0.329760, 1.321044
gravity, -9.687063, -0.209360, 1.512399
gravity, -9.686286, -0.007812, 1.531729
gravity, -9.694718, 0.030262, 1.477128
gravity, -9.707218, 0.054987, 1.391861
gravity, -9.714506, 0.116389, 1.336118
gravity, -9.731782, 0.220920, 1.189120
gravity, -9.743830, 0.267579, 1.075446
gravity, -9.747892, 0.301014, 1.028781
gravity, -9.753002, 0.431044, 0.929262
gravity, -9.755346, 0.489020, 0.874336
gravity, -9.756905, 0.502193, 0.849118
gravity, -9.757846, 0.520504, 0.826987
gravity, -9.756752, 0.516235, 0.842428
gravity, -9.753739, 0.503086, 0.884233
gravity, -9.762026, 0.356948, 0.863615
gravity, -9.761709, 0.204267, 0.915263
gravity, -9.755859, 0.022682, 0.996540
gravity, -9.747657, -0.138091, 1.065129
gravity, -9.748507, -0.307922, 1.020879
gravity, -9.749708, -0.337170, 0.999948
gravity, -9.728214, -0.417050, 1.165460
gravity, -9.699083, -0.584650, 1.325276
gravity, -9.677552, -0.618236, 1.460538
gravity, -9.673045, -0.557127, 1.513998
gravity, -9.665515, -0.539578, 1.567504
gravity, -9.659868, -0.557612, 1.595742
gravity, -9.650807, -0.548271, 1.652787
gravity, -9.648905, -0.539864, 1.666604
gravity, -9.640578, -0.573674, 1.703093
gravity, -9.628067, -0.618358, 1.757369
gravity, -9.618856, -0.711317, 1.772575
gravity, -9.620382, -0.649022, 1.788126
gravity, -9.603172, -0.642707, 1.880533
gravity, -9.615151, -0.580758, 1.839010
gravity, -9.646450, -0.496182, 1.694165
gravity, -9.676039, -0.410680, 1.541426
gravity, -9.688654, -0.303793, 1.485965
gravity, -9.696863, -0.139429, 1.456632
gravity, -9.703834, -0.025888, 1.416100
gravity, -9.708348, 0.070301, 1.383264
gravity, -9.717082, 0.155779, 1.313181
gravity, -9.720665, 0.284674, 1.264135
gravity, -9.723670, 0.344090, 1.225651
gravity, -9.723014, 0.416925, 1.208120
gravity, -9.701271, 0.645143, 1.280436
gravity, -9.677983, 0.730498, 1.404777
gravity, -9.662946, 0.828969, 1.452818
gravity, -9.669120, 0.867269, 1.387928
gravity, -9.669331, 0.941512, 1.337157
gravity, -9.683825, 0.896772, 1.260838
gravity, -9.724406, 0.724905, 1.039625
gravity, -9.747775, 0.403750, 0.994113
gravity, -9.762276, 0.183588, 0.913599
gravity, -9.759525, -0.032660, 0.959680
gravity, -9.750640, -0.234212, 1.020081
gravity, -9.747085, -0.339189, 1.024540
gravity, -9.726540, -0.467743, 1.160183
gravity, -9.730058, -0.472264, 1.128415
gravity, -9.704284, -0.483451, 1.327979
gravity, -9.678475, -0.537257, 1.486221
gravity, -9.656710, -0.534867, 1.622426
gravity, -9.635093, -0.542314, 1.743925
gravity, -9.625182, -0.524569, 1.803075
gravity, -9.621392, -0.458102, 1.841013
gravity, -9.623596, -0.422339, 1.838045
