Sensor, X, Y, Z
gyroscope, -0.007965, -0.003322, -0.002769
gyroscope, -0.001144, -0.002040, 0.000435
gyroscope, -0.003067, -0.000560, 0.001915
gyroscope, -0.001785, -0.003108, 0.001274
gyroscope, 0.003326, 0.002217, 0.003410
gyroscope, -0.005615, -0.001826, -0.002769
gyroscope, -0.005417, 0.000722, 0.001701
gyroscope, -0.027985, -0.001826, 0.001701
gyroscope, -0.113220, -0.009929, 0.001488
gyroscope, -0.222290, -0.005244, 0.008095
gyroscope, -0.337555, -0.055736, -0.021736
gyroscope, -0.364822, 0.003072, 0.005318
gyroscope, -0.288345, 0.047810, 0.062630
gyroscope, -0.374634, 0.023305, 0.174919
gyroscope, -0.470932, -0.128596, 0.075417
gyroscope, -0.537399, 0.044179, 0.083519
gyroscope, -0.453247, 0.046956, 0.060921
gyroscope, -0.359497, 0.020543, 0.010017
gyroscope, -0.298141, 0.013509, 0.032600
gyroscope, -0.177338, -0.012279, 0.035362
gyroscope, -0.087219, 0.000935, 0.012138
gyroscope, -0.008392, -0.002040, 0.005745
gyroscope, -0.006256, -0.007152, -0.001274
gyroscope, 0.012711, 0.001363, 0.009377
gyroscope, 0.010788, -0.000774, 0.002556
gyroscope, 0.027405, 0.003926, 0.014061
gyroscope, 0.128815, -0.002895, 0.007454
gyroscope, 0.220215, 0.028004, -0.026207
gyroscope, 0.321411, 0.040776, 0.049004
gyroscope, 0.395126, -0.041667, -0.083733
gyroscope, 0.504852, -0.050624, -0.078407
gyroscope, 0.601151, -0.064891, -0.091393
gyroscope, 0.589645, -0.037624, -0.098854
gyroscope, 0.525528, -0.002254, -0.058372
gyroscope, 0.407059, -0.007152, -0.018959
gyroscope, 0.349106, -0.028896, -0.063499
gyroscope, 0.239822, -0.010570, -0.043892
gyroscope, 0.115402, -0.022289, -0.027061
gyroscope, 0.028259, 0.007329, 0.007881
gyroscope, -0.007965, 0.000935, -0.008308
gyroscope, -0.020752, 0.004353, 0.001488
gyroscope, -0.008392, -0.011211, -0.006813
gyroscope, -0.038651, -0.018230, -0.000221
gyroscope, -0.096375, -0.000774, 0.003197
gyroscope, -0.252548, 0.013936, 0.047295
gyroscope, -0.391891, -0.026759, 0.083305
gyroscope, -0.438324, -0.001613, 0.096947
gyroscope, -0.489883, -0.044444, 0.075417
gyroscope, -0.456009, 0.003712, 0.102684
gyroscope, -0.548050, -0.116664, 0.134865
gyroscope, -0.427048, -0.049983, 0.141670
gyroscope, -0.383789, 0.006688, 0.063911
gyroscope, -0.344589, 0.003072, 0.053902
gyroscope, -0.289413, 0.015218, 0.049004
gyroscope, -0.191193, 0.053563, 0.075203
gyroscope, -0.159439, 0.035878, 0.034523
gyroscope, -0.151352, 0.012654, 0.028328
gyroscope, -0.104477, 0.041631, 0.066689
gyroscope, -0.064850, 0.019688, 0.032173
gyroscope, -0.001785, 0.009679, -0.002342
gyroscope, 0.033371, 0.005620, -0.001274
gyroscope, 0.046997, -0.007793, -0.011513
gyroscope, 0.137756, -0.023143, -0.040688
gyroscope, 0.274750, 0.007756, -0.083092
gyroscope, 0.406204, -0.011424, -0.109077
gyroscope, 0.581757, -0.025050, -0.163200
gyroscope, 0.756897, -0.021861, -0.158089
gyroscope, 0.731323, 0.046956, -0.158730
gyroscope, 0.563660, 0.038853, -0.067543
gyroscope, 0.460541, 0.002858, -0.075417
gyroscope, 0.443497, 0.000935, -0.103966
gyroscope, 0.373398, -0.006526, -0.043892
gyroscope, 0.191025, -0.012691, -0.000206
gyroscope, 0.043808, -0.002040, -0.009804
gyroscope, -0.015625, -0.004817, -0.011726
gyroscope, -0.051422, -0.014186, 0.000420
gyroscope, -0.046738, -0.006099, 0.005531
gyroscope, -0.048233, -0.017818, 0.002342
gyroscope, -0.165207, -0.038478, 0.014702
gyroscope, -0.284927, -0.038692, 0.023643
gyroscope, -0.403595, -0.054454, 0.090965
gyroscope, -0.572128, -0.085994, 0.113335
gyroscope, -0.664597, -0.039119, 0.103539
gyroscope, -0.435562, 0.026295, 0.099922
gyroscope, -0.386993, 0.034810, 0.112068
gyroscope, -0.477966, -0.010997, 0.115471
gyroscope, -0.358871, 0.001363, 0.129967
gyroscope, -0.186935, -0.010783, 0.062859
gyroscope, -0.206741, -0.002681, 0.066475
gyroscope, -0.147095, 0.010945, 0.067757
gyroscope, -0.160080, 0.012227, 0.073280
gyroscope, -0.141556, 0.005620, 0.042824
gyroscope, -0.190979, 0.013936, 0.096931
gyroscope, -0.416809, -0.014400, 0.166176
gyroscope, -0.318802, -0.044872, 0.081810
gyroscope, -0.187149, -0.014186, 0.070946
gyroscope, -0.019257, 0.001149, 0.009377
gyroscope, 0.035294, 0.008183, -0.002556
gyroscope, 0.209137, 0.049733, -0.067757
gyroscope, 0.448181, 0.067830, -0.148293
gyroscope, 0.581131, -0.004817, -0.221367
gyroscope, 0.868744, 0.026295, -0.198143
gyroscope, 0.945450, -0.022075, -0.200706
gyroscope, 0.767120, -0.011424, -0.178749
gyroscope, 0.577286, 0.027150, -0.115898
gyroscope, 0.465225, -0.038905, -0.115898
gyroscope, 0.407700, 0.047383, -0.052193
gyroscope, 0.337601, 0.003072, -0.053261
gyroscope, 0.257294, -0.003108, -0.062004
gyroscope, 0.179520, -0.011424, -0.031746
gyroscope, 0.085144, -0.026118, -0.010872
gyroscope, -0.021606, -0.007381, 0.013634
gyroscope, -0.017975, -0.002254, 0.015556
gyroscope, -0.010101, 0.004552, 0.011497
