Sensor, X, Y, Z
linear accelerometer, -0.010688, -0.014676, 0.004925
linear accelerometer, -0.000838, -0.006254, 0.016491
linear accelerometer, 0.008308, 0.013425, 0.000155
linear accelerometer, -0.001350, -0.001270, 0.000471
linear accelerometer, -0.009480, -0.002852, 0.014279
linear accelerometer, 0.018697, -0.018615, 0.003727
linear accelerometer, 0.006211, -0.011826, 0.000123
linear accelerometer, -0.019151, -0.043527, 0.015073
linear accelerometer, -0.032897, -0.033881, -0.012961
linear accelerometer, 0.017382, 0.038930, -0.032298
linear accelerometer, -0.018349, 0.037394, -0.062048
linear accelerometer, 0.016983, 0.123074, -0.055551
linear accelerometer, 0.036855, -0.000709, -0.061378
linear accelerometer, 0.028240, 0.084716, -0.172468
linear accelerometer, -0.133019, 0.097983, -0.089513
linear accelerometer, -0.022884, 0.293829, -0.214303
linear accelerometer, 0.004674, 0.206390, -0.136371
linear accelerometer, -0.194761, 0.107554, -0.149270
linear accelerometer, 0.020867, 0.245628, -0.198781
linear accelerometer, -0.051396, 0.081925, -0.127933
linear accelerometer, -0.017840, 0.091456, -0.062673
linear accelerometer, -0.020911, 0.035170, -0.094961
linear accelerometer, -0.031555, -0.002060, -0.033050
linear accelerometer, -0.016302, -0.002259, -0.020017
linear accelerometer, -0.031682, -0.006821, -0.015405
linear accelerometer, 0.012099, 0.064888, -0.001861
linear accelerometer, -0.018291, 0.000367, 0.021192
linear accelerometer, 0.001683, 0.009245, 0.008549
linear accelerometer, -0.003586, 0.032721, 0.045223
linear accelerometer, 0.118991, 0.023989, 0.144171
linear accelerometer, 0.030783, -0.092924, 0.239160
linear accelerometer, 0.072116, -0.104186, 0.227436
linear accelerometer, -0.001161, -0.197239, 0.197386
linear accelerometer, 0.122047, -0.038858, 0.227889
linear accelerometer, 0.013774, 0.001546, 0.220820
linear accelerometer, 0.027160, -0.047370, 0.182120
linear accelerometer, 0.085824, -0.048393, 0.130858
linear accelerometer, -0.051719, -0.094394, 0.129703
linear accelerometer, 0.056585, 0.047204, 0.049288
linear accelerometer, 0.008897, -0.004489, 0.034300
linear accelerometer, -0.018575, -0.001685, 0.007268
linear accelerometer, -0.005883, -0.009020, 0.027381
linear accelerometer, 0.021529, 0.008377, 0.016539
linear accelerometer, -0.011460, -0.069316, 0.028835
linear accelerometer, -0.048825, -0.053897, -0.057074
linear accelerometer, 0.000026, 0.147142, -0.030221
linear accelerometer, -0.025620, 0.054128, -0.049575
linear accelerometer, 0.016725, 0.048431, -0.087417
linear accelerometer, -0.024046, 0.015247, -0.100404
linear accelerometer, -0.100954, 0.227139, -0.113056
linear accelerometer, -0.017884, 0.125078, -0.138894
linear accelerometer, -0.040688, 0.066768, -0.084061
linear accelerometer, -0.096118, 0.045931, -0.161578
linear accelerometer, -0.026379, 0.097168, -0.060147
linear accelerometer, -0.019476, 0.015017, -0.100842
linear accelerometer, 0.037540, 0.032220, -0.113515
linear accelerometer, -0.004190, 0.021104, -0.064362
linear accelerometer, 0.002743, 0.041655, -0.053444
linear accelerometer, -0.007921, 0.012911, -0.046042
linear accelerometer, 0.018323, 0.036733, -0.015410
linear accelerometer, -0.014349, 0.032274, -0.015076
linear accelerometer, 0.015256, 0.020967, 0.009311
linear accelerometer, -0.046327, 0.092869, 0.025519
linear accelerometer, 0.026982, -0.066668, 0.038425
linear accelerometer, -0.090652, -0.013774, 0.119766
linear accelerometer, 0.058112, 0.059760, 0.088328
linear accelerometer, 0.120884, -0.124816, 0.315642
linear accelerometer, 0.099964, -0.244226, 0.319849
linear accelerometer, 0.133454, -0.209242, 0.353004
linear accelerometer, 0.065912, -0.052576, 0.287187
linear accelerometer, 0.092248, -0.144578, 0.247203
linear accelerometer, 0.028843, -0.105238, 0.164500
linear accelerometer, 0.009032, 0.094569, 0.122292
linear accelerometer, 0.000404, 0.047802, 0.095836
linear accelerometer, 0.044196, 0.022265, 0.037043
linear accelerometer, 0.012870, 0.052634, 0.073616
linear accelerometer, 0.025319, 0.028760, 0.010762
linear accelerometer, 0.011090, -0.046211, 0.013453
