Sensor, X, Y, Z
magnetic, 38.659668, 34.252930, -3.556824
magnetic, 38.659668, 37.046814, -2.877808
magnetic, 37.962341, 34.252930, -2.197266
magnetic, 37.962341, 33.554077, -2.197266
magnetic, 37.263489, 33.554077, -2.197266
magnetic, 37.962341, 35.649109, -1.518250
magnetic, 36.564636, 34.252930, -2.197266
magnetic, 37.263489, 34.951782, -2.877808
magnetic, 37.263489, 34.951782, -2.877808
magnetic, 38.659668, 34.252930, -3.556824
magnetic, 37.263489, 34.951782, -1.518250
magnetic, 39.358521, 34.951782, -0.158691
magnetic, 38.659668, 35.649109, 2.560425
magnetic, 36.564636, 36.347961, 5.958557
magnetic, 37.263489, 33.555603, 5.958557
magnetic, 39.358521, 32.157898, 8.677673
magnetic, 40.055847, 30.760193, 11.056519
magnetic, 39.009094, 28.665161, 15.135193
magnetic, 40.756226, 25.871277, 16.494751
magnetic, 40.406799, 24.125671, 18.193054
magnetic, 39.707947, 24.125671, 19.212341
magnetic, 40.057373, 23.426819, 20.231628
magnetic, 40.756226, 21.681213, 20.912170
magnetic, 40.406799, 23.077393, 21.252441
magnetic, 40.406799, 21.331787, 21.591187
magnetic, 41.453552, 22.030640, 21.591187
magnetic, 40.756226, 23.426819, 20.912170
magnetic, 40.754700, 22.727966, 21.592712
magnetic, 41.453552, 22.378540, 19.552612
magnetic, 40.057373, 23.776245, 20.231628
magnetic, 42.851257, 25.871277, 18.872070
magnetic, 40.756226, 25.172424, 16.833496
magnetic, 40.057373, 28.665161, 13.435364
magnetic, 39.009094, 31.109619, 9.696960
magnetic, 39.707947, 31.459045, 5.279541
magnetic, 39.009094, 32.856750, 3.579712
magnetic, 38.310242, 33.903503, 1.200867
magnetic, 38.659668, 33.903503, -1.177979
magnetic, 37.612915, 34.951782, -2.537537
magnetic, 37.960815, 33.903503, -3.216553
magnetic, 37.612915, 34.602356, -3.556824
magnetic, 37.612915, 33.903503, -3.216553
magnetic, 37.263489, 33.204651, -3.897095
magnetic, 37.962341, 34.951782, -3.897095
magnetic, 37.263489, 34.252930, -3.897095
magnetic, 37.612915, 34.951782, -1.856995
magnetic, 37.612915, 34.602356, -1.177979
magnetic, 38.310242, 33.204651, 1.541138
magnetic, 40.057373, 31.808472, 4.260254
magnetic, 39.009094, 31.109619, 6.639099
magnetic, 39.707947, 30.760193, 9.696960
magnetic, 41.104126, 29.364014, 11.737061
magnetic, 41.453552, 25.872803, 12.754822
magnetic, 43.200684, 25.172424, 13.775635
magnetic, 43.898010, 23.077393, 16.154480
magnetic, 42.152405, 20.982361, 17.514038
magnetic, 42.851257, 19.935608, 18.873596
magnetic, 41.802979, 18.887329, 18.873596
magnetic, 42.152405, 17.839050, 20.231628
magnetic, 42.152405, 16.792297, 20.912170
magnetic, 42.851257, 16.792297, 21.252441
magnetic, 41.802979, 17.491150, 20.571899
magnetic, 43.200684, 17.839050, 21.931458
magnetic, 42.851257, 17.491150, 20.231628
magnetic, 41.453552, 19.935608, 20.231628
magnetic, 43.548584, 20.982361, 18.873596
magnetic, 43.199158, 23.078918, 17.852783
magnetic, 41.104126, 27.967834, 14.115906
magnetic, 41.453552, 29.014587, 9.696960
magnetic, 40.754700, 31.459045, 6.977844
magnetic, 40.057373, 33.554077, 3.579712
magnetic, 39.358521, 33.554077, 2.220154
magnetic, 38.659668, 34.602356, -1.518250
magnetic, 38.310242, 33.903503, -4.576111
magnetic, 38.310242, 34.602356, -5.255127
magnetic, 36.914063, 33.204651, -5.935669
magnetic, 38.310242, 33.903503, -4.235840
magnetic, 38.310242, 34.602356, -5.255127
magnetic, 37.611389, 33.554077, -4.576111
magnetic, 37.612915, 35.650635, -3.216553
magnetic, 37.263489, 33.554077, -3.216553
magnetic, 37.962341, 34.602356, -2.537537
magnetic, 39.009094, 33.554077, 0.521851
magnetic, 39.358521, 32.856750, 4.260254
magnetic, 40.405273, 30.761719, 6.977844
magnetic, 40.756226, 30.412292, 10.377502
magnetic, 41.104126, 28.315735, 11.396790
magnetic, 42.152405, 25.871277, 14.115906
magnetic, 42.152405, 24.824524, 15.473938
magnetic, 42.152405, 22.727966, 16.154480
magnetic, 42.152405, 22.378540, 16.833496
magnetic, 42.851257, 20.285034, 17.173767
magnetic, 43.200684, 19.935608, 17.854309
magnetic, 43.550110, 18.887329, 18.872070
magnetic, 42.501831, 16.792297, 19.552612
magnetic, 44.946289, 14.347839, 20.231628
magnetic, 45.294189, 11.903381, 20.912170
magnetic, 44.247437, 11.204529, 20.571899
magnetic, 44.946289, 10.157776, 21.252441
magnetic, 45.295715, 12.252808, 21.592712
magnetic, 44.596863, 12.951660, 21.592712
magnetic, 44.596863, 16.442871, 20.571899
magnetic, 43.199158, 19.935608, 18.872070
magnetic, 41.802979, 24.824524, 15.135193
magnetic, 40.756226, 28.665161, 10.037231
magnetic, 40.756226, 32.507324, 5.958557
magnetic, 40.057373, 32.157898, 3.579712
magnetic, 39.358521, 33.903503, 0.181580
magnetic, 38.310242, 32.856750, -2.197266
magnetic, 37.962341, 34.602356, -2.876282
magnetic, 38.310242, 34.951782, -4.916382
magnetic, 37.960815, 33.903503, -6.954956
magnetic, 37.960815, 34.602356, -5.935669
magnetic, 36.914063, 33.554077, -7.295227
magnetic, 37.612915, 34.252930, -6.954956
magnetic, 37.612915, 33.554077, -7.635498
