Sensor, X, Y, Z
orientation angles, -0.091622, 0.070363, 1.436790
orientation angles, -0.095159, 0.070577, 1.435601
orientation angles, -0.092029, 0.069632, 1.435470
orientation angles, -0.110081, 0.069461, 1.434853
orientation angles, -0.087781, 0.068764, 1.434631
orientation angles, -0.069046, 0.070408, 1.434029
orientation angles, -0.069046, 0.070408, 1.434029
orientation angles, -0.056215, 0.073231, 1.433631
orientation angles, -0.111269, 0.073231, 1.433631
orientation angles, -0.157922, 0.080158, 1.438093
orientation angles, -0.231313, 0.080158, 1.438093
orientation angles, -0.312551, 0.099759, 1.443728
orientation angles, -0.342908, 0.099759, 1.443728
orientation angles, -0.426200, 0.094413, 1.461967
orientation angles, -0.486785, 0.066651, 1.473987
orientation angles, -0.619209, 0.054667, 1.470990
orientation angles, -0.681223, 0.040869, 1.491961
orientation angles, -0.753354, 0.043649, 1.499925
orientation angles, -0.749732, 0.029263, 1.514843
orientation angles, -0.776753, 0.020094, 1.519705
orientation angles, -0.832933, 0.020094, 1.519705
orientation angles, -0.799063, 0.014053, 1.523319
orientation angles, -0.840451, 0.011616, 1.527830
orientation angles, -0.825299, 0.011616, 1.527830
orientation angles, -0.775636, 0.009699, 1.529078
orientation angles, -0.798815, 0.003170, 1.530518
orientation angles, -0.798255, 0.001075, 1.529017
orientation angles, -0.760910, 0.001075, 1.529017
orientation angles, -0.726260, -0.009467, 1.540171
orientation angles, -0.654919, -0.009467, 1.540171
orientation angles, -0.657380, 0.016296, 1.518838
orientation angles, -0.538967, 0.030462, 1.495117
orientation angles, -0.398956, 0.030462, 1.495117
orientation angles, -0.294507, 0.043802, 1.475987
orientation angles, -0.245903, 0.039496, 1.460294
orientation angles, -0.165805, 0.039496, 1.460294
orientation angles, -0.117017, 0.046424, 1.442677
orientation angles, -0.096045, 0.057872, 1.419716
orientation angles, -0.081346, 0.053260, 1.418092
orientation angles, -0.067676, 0.053260, 1.418092
orientation angles, -0.080569, 0.055731, 1.417518
orientation angles, -0.063383, 0.057729, 1.414071
orientation angles, -0.068344, 0.058626, 1.409883
orientation angles, -0.067086, 0.064387, 1.409581
orientation angles, -0.118461, 0.065460, 1.418803
orientation angles, -0.136999, 0.053606, 1.419954
orientation angles, -0.219563, 0.044790, 1.426714
orientation angles, -0.319847, 0.041781, 1.426233
orientation angles, -0.377827, 0.033632, 1.435600
orientation angles, -0.483019, 0.021350, 1.415921
orientation angles, -0.550715, 0.000797, 1.413961
orientation angles, -0.627515, -0.003086, 1.419595
orientation angles, -0.672022, -0.003086, 1.419595
orientation angles, -0.750712, -0.011869, 1.434115
orientation angles, -0.799496, -0.022529, 1.449210
orientation angles, -0.839887, -0.027289, 1.460869
orientation angles, -0.856104, -0.030700, 1.465647
orientation angles, -0.889246, -0.043968, 1.475803
orientation angles, -0.918808, -0.049887, 1.481409
orientation angles, -0.922266, -0.051232, 1.483988
orientation angles, -0.886930, -0.053102, 1.486247
orientation angles, -0.907424, -0.052666, 1.484667
orientation angles, -0.887246, -0.051323, 1.480388
orientation angles, -0.828102, -0.051323, 1.480388
orientation angles, -0.808039, -0.020831, 1.477309
orientation angles, -0.738920, -0.020831, 1.477309
orientation angles, -0.593616, 0.014082, 1.461958
orientation angles, -0.466325, 0.031404, 1.466455
orientation angles, -0.353596, 0.034389, 1.468592
orientation angles, -0.255488, 0.042540, 1.451563
orientation angles, -0.236852, 0.059653, 1.434998
orientation angles, -0.132144, 0.063084, 1.421007
orientation angles, -0.044289, 0.056842, 1.415539
orientation angles, -0.029153, 0.055049, 1.410021
orientation angles, -0.005160, 0.056891, 1.407082
orientation angles, -0.072171, 0.055937, 1.401183
orientation angles, -0.041371, 0.055079, 1.399759
orientation angles, -0.065014, 0.058532, 1.395942
orientation angles, -0.100760, 0.058532, 1.395942
orientation angles, -0.116163, 0.072598, 1.388560
orientation angles, -0.137138, 0.072598, 1.388560
orientation angles, -0.252976, 0.065585, 1.377419
orientation angles, -0.362187, 0.059256, 1.381817
orientation angles, -0.448998, 0.050618, 1.396944
orientation angles, -0.524916, 0.041890, 1.412820
orientation angles, -0.586547, 0.041890, 1.412820
orientation angles, -0.674172, 0.014218, 1.421694
orientation angles, -0.713501, 0.002640, 1.425887
orientation angles, -0.773052, 0.002640, 1.425887
orientation angles, -0.770478, -0.015886, 1.436469
orientation angles, -0.827439, -0.015886, 1.436469
orientation angles, -0.825135, -0.035095, 1.445409
orientation angles, -0.871992, -0.035095, 1.445409
orientation angles, -0.927693, -0.042527, 1.447176
orientation angles, -0.988652, -0.065834, 1.439568
orientation angles, -1.059411, -0.084632, 1.421565
orientation angles, -1.064561, -0.088552, 1.428228
orientation angles, -1.104993, -0.088552, 1.428228
orientation angles, -1.038566, -0.091573, 1.441324
orientation angles, -1.020035, -0.091573, 1.441324
orientation angles, -0.942137, -0.041183, 1.469164
orientation angles, -0.833862, -0.018722, 1.477484
orientation angles, -0.659767, 0.003330, 1.472779
orientation angles, -0.474171, 0.023885, 1.466559
orientation angles, -0.311787, 0.023885, 1.466559
orientation angles, -0.267804, 0.047715, 1.452077
orientation angles, -0.146354, 0.048176, 1.455340
orientation angles, -0.097238, 0.049318, 1.434796
orientation angles, -0.089655, 0.054812, 1.418427
orientation angles, -0.045680, 0.054568, 1.404341
orientation angles, 0.017926, 0.054568, 1.404341
orientation angles, -0.035537, 0.053517, 1.385614
orientation angles, 0.007171, 0.046730, 1.381736
orientation angles, -0.006901, 0.043080, 1.382076
