Sensor, X, Y, Z
gravity, -9.737649, -0.927517, 0.698770
gravity, -9.740582, -0.855125, 0.748469
gravity, -9.730188, -0.864715, 0.863766
gravity, -9.726764, -0.848983, 0.916341
gravity, -9.742695, -0.709200, 0.864472
gravity, -9.746315, -0.795689, 0.739324
gravity, -9.762877, -0.745853, 0.547994
gravity, -9.761188, -0.788482, 0.517601
gravity, -9.760242, -0.763370, 0.570361
gravity, -9.750657, -0.824406, 0.644543
gravity, -9.756567, -0.807432, 0.572577
gravity, -9.753818, -0.868930, 0.527624
gravity, -9.733466, -1.019879, 0.624395
gravity, -9.705791, -1.157153, 0.793103
gravity, -9.677625, -1.292185, 0.918813
gravity, -9.627554, -1.536995, 1.057461
gravity, -9.619596, -1.528270, 1.139350
gravity, -9.620739, -1.453965, 1.223832
gravity, -9.630672, -1.400486, 1.207977
gravity, -9.630065, -1.380675, 1.235305
gravity, -9.631679, -1.337269, 1.269989
gravity, -9.631469, -1.318916, 1.290601
gravity, -9.635948, -1.285108, 1.291273
gravity, -9.641004, -1.251597, 1.286446
gravity, -9.634065, -1.266585, 1.323235
gravity, -9.635417, -1.237251, 1.341022
gravity, -9.659076, -1.145739, 1.248970
gravity, -9.714931, -0.872151, 1.014829
gravity, -9.741179, -0.706034, 0.883933
gravity, -9.757974, -0.526340, 0.821766
gravity, -9.760536, -0.475433, 0.822364
gravity, -9.769916, -0.324822, 0.783336
gravity, -9.773620, -0.254716, 0.762798
gravity, -9.772847, -0.213008, 0.785160
gravity, -9.774120, -0.066384, 0.795330
gravity, -9.775897, 0.004791, 0.776027
gravity, -9.777896, 0.112090, 0.742005
gravity, -9.779436, 0.166154, 0.710925
gravity, -9.782809, 0.136766, 0.669566
gravity, -9.774605, 0.108683, 0.784650
gravity, -9.761769, 0.002251, 0.937132
gravity, -9.759655, -0.044845, 0.957873
gravity, -9.748162, -0.144136, 1.059696
gravity, -9.731495, -0.203596, 1.194552
gravity, -9.724617, -0.238070, 1.243192
gravity, -9.712200, -0.445631, 1.282562
gravity, -9.699080, -0.559651, 1.336051
gravity, -9.689715, -0.580621, 1.393798
gravity, -9.689687, -0.591269, 1.389514
gravity, -9.674365, -0.700280, 1.444528
gravity, -9.657234, -0.744751, 1.534139
gravity, -9.645981, -0.723823, 1.612921
gravity, -9.627988, -0.854981, 1.655667
gravity, -9.624342, -0.837317, 1.685625
gravity, -9.614054, -0.819519, 1.751783
gravity, -9.611773, -0.788384, 1.778384
gravity, -9.611982, -0.786062, 1.778284
gravity, -9.604259, -0.825266, 1.802089
gravity, -9.608126, -0.720045, 1.826425
gravity, -9.605632, -0.597613, 1.882838
gravity, -9.616673, -0.558251, 1.838030
gravity, -9.618690, -0.438643, 1.859783
gravity, -9.638919, -0.119644, 1.802034
gravity, -9.633549, 0.064233, 1.833305
gravity, -9.619956, -0.031881, 1.904163
gravity, -9.575179, -0.048557, 2.117540
gravity, -9.497538, -0.097025, 2.440851
gravity, -9.458261, -0.090971, 2.589090
gravity, -9.462995, -0.109641, 2.571014
gravity, -9.473667, -0.074951, 2.532668
gravity, -9.487781, -0.056826, 2.479750
gravity, -9.516590, -0.066907, 2.366522
gravity, -9.568257, -0.189856, 2.140746
gravity, -9.595768, -0.197860, 2.013077
gravity, -9.651191, -0.135140, 1.733972
gravity, -9.670162, -0.354067, 1.591539
gravity, -9.704967, -0.421169, 1.344110
gravity, -9.755975, -0.334939, 0.937631
gravity, -9.738714, -0.522008, 1.027298
gravity, -9.721802, -0.775272, 1.027568
gravity, -9.727800, -0.798195, 0.950352
gravity, -9.716056, -0.800937, 1.061666
gravity, -9.712096, -0.771897, 1.117919
gravity, -9.703650, -0.772587, 1.188559
gravity, -9.695649, -0.740560, 1.271357
gravity, -9.682406, -0.742472, 1.367527
gravity, -9.678530, -0.595869, 1.463351
gravity, -9.587848, -0.565910, 1.980737
gravity, -9.600597, -0.535957, 1.926567
gravity, -9.609001, -0.447610, 1.907126
gravity, -9.638570, -0.187679, 1.798093
gravity, -9.572015, -0.210070, 2.121979
gravity, -9.539312, -0.185552, 2.266603
gravity, -9.537361, -0.110442, 2.279680
gravity, -9.555415, 0.080000, 2.204092
gravity, -9.554284, 0.148252, 2.205465
gravity, -9.570555, 0.222216, 2.127322
gravity, -9.572689, 0.240166, 2.115738
gravity, -9.572484, 0.246659, 2.115914
gravity, -9.576813, 0.239660, 2.097049
gravity, -9.577205, 0.239358, 2.095289
gravity, -9.587988, 0.266788, 2.041984
gravity, -9.588003, 0.314788, 2.035063
gravity, -9.587510, 0.303726, 2.039066
gravity, -9.585689, 0.302322, 2.047819
gravity, -9.582519, 0.293465, 2.063878
