Sensor, X, Y, Z
gyroscope, 0.019943, -0.015041, -0.005333
gyroscope, 0.064468, -0.008861, 0.015968
gyroscope, 0.171646, -0.022929, -0.013206
gyroscope, 0.248337, 0.004765, -0.004478
gyroscope, 0.336746, 0.077855, 0.032814
gyroscope, 0.467148, 0.103413, -0.075203
gyroscope, 0.349747, 0.127919, 0.003624
gyroscope, 0.317581, 0.066991, -0.014488
gyroscope, 0.324829, 0.040349, -0.007027
gyroscope, 0.419418, 0.051427, -0.044746
gyroscope, 0.459686, 0.098302, -0.002769
gyroscope, 0.442856, 0.079549, -0.042824
gyroscope, 0.453293, 0.033757, -0.088417
gyroscope, 0.493561, -0.021007, -0.104179
gyroscope, 0.598175, 0.046529, -0.095024
gyroscope, 0.459473, 0.003697, -0.162987
gyroscope, 0.170151, -0.006938, -0.014915
gyroscope, 0.157578, 0.036732, 0.030678
gyroscope, 0.147141, 0.033742, 0.006813
gyroscope, 0.145218, 0.027150, 0.002556
gyroscope, 0.100906, 0.001363, 0.006813
gyroscope, 0.081512, 0.026936, -0.000633
gyroscope, 0.025055, 0.017979, 0.006599
gyroscope, 0.008438, 0.010732, 0.010231
gyroscope, 0.006744, -0.001201, 0.009804
gyroscope, -0.094681, -0.010143, 0.053902
gyroscope, -0.381226, 0.002858, 0.134438
gyroscope, -0.751526, 0.040135, 0.224556
gyroscope, -0.944336, -0.011424, 0.168739
gyroscope, -0.889359, -0.031230, 0.154457
gyroscope, -0.700180, -0.042949, 0.071587
gyroscope, -0.649261, -0.055095, 0.051338
gyroscope, -0.666290, -0.052531, 0.029610
gyroscope, -0.514603, -0.030162, 0.050697
gyroscope, -0.353317, -0.016109, 0.089058
gyroscope, -0.163925, 0.003285, 0.037285
gyroscope, -0.042053, -0.010143, -0.006813
gyroscope, 0.100266, -0.015681, -0.009163
gyroscope, 0.139679, 0.003926, -0.041328
gyroscope, 0.207214, -0.055736, -0.047935
gyroscope, 0.312256, -0.065105, -0.076271
gyroscope, 0.411118, -0.007381, -0.063927
gyroscope, 0.399185, -0.035289, -0.088417
gyroscope, 0.531693, -0.053188, -0.089912
gyroscope, 0.605194, -0.005244, -0.094170
gyroscope, 0.539368, 0.000722, -0.172569
gyroscope, 0.426239, 0.003712, -0.113991
gyroscope, 0.384476, 0.052495, -0.059013
gyroscope, 0.402802, 0.063573, -0.078835
gyroscope, 0.371704, 0.032887, -0.097588
gyroscope, 0.324188, 0.011800, -0.069252
gyroscope, 0.295425, 0.017766, -0.033882
gyroscope, 0.159927, 0.012868, -0.065193
gyroscope, 0.071930, -0.006099, -0.006599
gyroscope, 0.143936, -0.003108, -0.024712
gyroscope, 0.065323, 0.005193, 0.007027
gyroscope, -0.018188, 0.005620, 0.000847
gyroscope, -0.064423, -0.011211, 0.020668
gyroscope, -0.202057, -0.022502, 0.099068
gyroscope, -0.483292, -0.062129, 0.155312
gyroscope, -0.589386, -0.040599, 0.115471
gyroscope, -0.704224, -0.051051, 0.194511
gyroscope, -0.797333, -0.001414, 0.306999
gyroscope, -0.778366, -0.078319, 0.170448
gyroscope, -0.642441, -0.075984, 0.058800
gyroscope, -0.578949, -0.154597, 0.060509
gyroscope, -0.528030, -0.178447, 0.094810
gyroscope, -0.454742, -0.122630, 0.072227
gyroscope, -0.184372, -0.024837, 0.013847
gyroscope, 0.000565, -0.001826, 0.004692
gyroscope, 0.043808, 0.008824, -0.019814
gyroscope, 0.173553, 0.049718, -0.079903
gyroscope, 0.445419, 0.124730, -0.168098
gyroscope, 0.712585, 0.140492, -0.154259
gyroscope, 0.896027, 0.166478, -0.147652
gyroscope, 0.951416, 0.108952, -0.264397
gyroscope, 0.777985, 0.171803, -0.145943
gyroscope, 0.649521, 0.249562, -0.032173
gyroscope, 0.517212, 0.094044, -0.139336
gyroscope, 0.447968, 0.107671, -0.152336
gyroscope, 0.361679, 0.110661, -0.034935
gyroscope, 0.194229, 0.012440, -0.029411
gyroscope, 0.068527, 0.004765, 0.009361
gyroscope, -0.024368, -0.019511, 0.009377
gyroscope, -0.126846, -0.036128, 0.017464
gyroscope, -0.255112, -0.070003, 0.038353
gyroscope, -0.635620, -0.091960, 0.174919
gyroscope, -1.109451, -0.322047, 0.205803
gyroscope, -0.876160, -0.028896, 0.193230
gyroscope, -0.836533, -0.037196, 0.200264
gyroscope, -0.639664, -0.021648, 0.155739
gyroscope, -0.492874, -0.187831, 0.078621
gyroscope, -0.395935, -0.090038, 0.097572
gyroscope, -0.423630, -0.022929, 0.130165
gyroscope, -0.203125, -0.027827, 0.061790
gyroscope, -0.029266, -0.022929, 0.012566
gyroscope, -0.034180, 0.009877, 0.026848
gyroscope, -0.001785, -0.007365, 0.002342
gyroscope, 0.015900, -0.013972, -0.004265
gyroscope, 0.008865, 0.001790, -0.008736
gyroscope, 0.007370, 0.000508, -0.005974
gyroscope, 0.008011, 0.011800, 0.008095
gyroscope, 0.008011, 0.002858, 0.014915
gyroscope, 0.010361, -0.001628, -0.006172
gyroscope, 0.003113, -0.003749, -0.000435
gyroscope, 0.000992, -0.005885, -0.007668
