Sensor, X, Y, Z
linear accelerometer, -0.046166, -0.081209, 0.065671
linear accelerometer, -0.020866, 0.063992, 0.043970
linear accelerometer, -0.066569, -0.029792, 0.091726
linear accelerometer, -0.033703, -0.045764, 0.044002
linear accelerometer, 0.039865, 0.037069, 0.094152
linear accelerometer, 0.056561, -0.275671, 0.179648
linear accelerometer, 0.156963, -0.058169, 0.089085
linear accelerometer, 0.019622, -0.095768, 0.112285
linear accelerometer, -0.090834, 0.004882, 0.174814
linear accelerometer, 0.105026, -0.034431, 0.223572
linear accelerometer, 0.020623, -0.067843, 0.098135
linear accelerometer, 0.049143, -0.048327, 0.076847
linear accelerometer, 0.020327, -0.053123, 0.163334
linear accelerometer, 0.083126, -0.035269, 0.381531
linear accelerometer, -0.042244, -0.112351, 0.155151
linear accelerometer, -0.184542, -0.399337, 0.375917
linear accelerometer, -0.042405, -0.010130, 0.302981
linear accelerometer, 0.104486, -0.033014, 0.217592
linear accelerometer, -0.122241, 0.062980, 0.160349
linear accelerometer, -0.040217, -0.050893, 0.089936
linear accelerometer, -0.021921, 0.088429, 0.195203
linear accelerometer, 0.066602, 0.004374, 0.099880
linear accelerometer, -0.042477, 0.023408, 0.066916
linear accelerometer, 0.056441, 0.031048, 0.021179
linear accelerometer, -0.035189, -0.082219, 0.075721
linear accelerometer, -0.013654, -0.109539, 0.049384
linear accelerometer, -0.049856, -0.159666, 0.014982
linear accelerometer, -0.000237, 0.192120, -0.097637
linear accelerometer, 0.120037, 0.297274, -0.099451
linear accelerometer, -0.084051, 0.536789, -0.198638
linear accelerometer, -0.009754, 0.529729, -0.257979
linear accelerometer, -0.008470, 0.336024, -0.179963
linear accelerometer, -0.085595, 0.251668, -0.157621
linear accelerometer, -0.141178, 0.448078, -0.218709
linear accelerometer, -0.124583, 0.576576, -0.181081
linear accelerometer, 0.010672, 0.476490, -0.232749
linear accelerometer, -0.065701, 0.268404, -0.109516
linear accelerometer, 0.033839, 0.118768, -0.129366
linear accelerometer, 0.057894, 0.066377, -0.066939
linear accelerometer, -0.037988, 0.076658, 0.023341
linear accelerometer, -0.060186, -0.019666, 0.063816
linear accelerometer, 0.182674, -0.019848, 0.066867
linear accelerometer, 0.024219, -0.011215, 0.051584
linear accelerometer, -0.047416, -0.066175, 0.240194
linear accelerometer, 0.212097, 0.024311, 0.200140
linear accelerometer, -0.008447, -0.136585, 0.118002
linear accelerometer, 0.186233, -0.052822, 0.327152
linear accelerometer, 0.132159, -0.010151, 0.231574
linear accelerometer, -0.057141, 0.063635, 0.158300
linear accelerometer, 0.116692, -0.039704, 0.137721
linear accelerometer, -0.063252, -0.016398, 0.150422
linear accelerometer, 0.049802, -0.008716, 0.141900
linear accelerometer, -0.009437, -0.120778, 0.097712
linear accelerometer, -0.045844, 0.120239, 0.127804
linear accelerometer, 0.032085, 0.035802, 0.071626
linear accelerometer, 0.025117, -0.011023, 0.052065
linear accelerometer, 0.011242, 0.015159, 0.027320
linear accelerometer, 0.038830, -0.116221, 0.021005
linear accelerometer, 0.004373, -0.027698, 0.025649
linear accelerometer, -0.039611, 0.024588, -0.004545
linear accelerometer, -0.038372, 0.084040, -0.110161
linear accelerometer, -0.090536, 0.096040, -0.088942
linear accelerometer, -0.004756, 0.383033, -0.249093
linear accelerometer, -0.106029, 0.303838, -0.216516
linear accelerometer, -0.002696, 0.079920, -0.174345
linear accelerometer, -0.060684, 0.214496, -0.146071
linear accelerometer, -0.198660, 0.230609, -0.176949
linear accelerometer, -0.130240, 0.215022, -0.130039
linear accelerometer, -0.039174, 0.110175, -0.128406
linear accelerometer, -0.021281, 0.053425, -0.089418
linear accelerometer, 0.004773, 0.070940, -0.084724
linear accelerometer, -0.062351, 0.121168, -0.032608
linear accelerometer, 0.069537, -0.008421, 0.093385
linear accelerometer, 0.053049, 0.001352, 0.236890
linear accelerometer, -0.017035, 0.236987, 0.242816
linear accelerometer, 0.284580, -0.349326, 0.536706
linear accelerometer, 0.146162, -0.243719, 0.579727
linear accelerometer, 0.173988, -0.008058, 0.536930
linear accelerometer, 0.116385, 0.001115, 0.484138
linear accelerometer, 0.052327, -0.084530, 0.326101
linear accelerometer, -0.001097, -0.052587, 0.174625
linear accelerometer, 0.069570, 0.041873, 0.214134
linear accelerometer, 0.044856, -0.006296, 0.111213
linear accelerometer, 0.005428, -0.029122, 0.076697
linear accelerometer, 0.056996, 0.064422, 0.059285
linear accelerometer, 0.057821, -0.176940, -0.047683
linear accelerometer, 0.085512, -0.257140, 0.026801
linear accelerometer, -0.059958, 0.179733, 0.399720
linear accelerometer, -0.075621, 0.207925, -0.205682
linear accelerometer, -0.168443, 0.468134, -0.096984
linear accelerometer, -0.139447, 0.423759, -0.186652
linear accelerometer, -0.063784, 0.336286, -0.365844
linear accelerometer, -0.048508, 0.260959, -0.242307
linear accelerometer, -0.196374, 0.409811, -0.317667
linear accelerometer, -0.016983, 0.348553, -0.274003
linear accelerometer, -0.128578, 0.121191, -0.065797
linear accelerometer, 0.001560, 0.077546, -0.133580
linear accelerometer, 0.001255, 0.029222, -0.057260
linear accelerometer, 0.003127, 0.015793, -0.058191
linear accelerometer, -0.041619, 0.013194, -0.023997
linear accelerometer, -0.061790, 0.018201, 0.012570
linear accelerometer, -0.064758, 0.018852, -0.052932
linear accelerometer, 0.033239, 0.031804, -0.008936
linear accelerometer, 0.025869, -0.008559, -0.002248
linear accelerometer, 0.010306, -0.004677, 0.001454
linear accelerometer, -0.037341, 0.012460, 0.018566
