Sensor, X, Y, Z
magnetic, 36.914063, 36.347961, 0.862122
magnetic, 36.914063, 36.697388, 0.181580
magnetic, 38.310242, 35.649109, -0.497437
magnetic, 36.564636, 36.697388, -1.516724
magnetic, 36.564636, 35.649109, -3.897095
magnetic, 37.612915, 35.649109, -4.916382
magnetic, 36.564636, 34.951782, -6.954956
magnetic, 38.659668, 33.554077, -9.333801
magnetic, 36.215210, 33.206177, -10.693359
magnetic, 36.215210, 32.507324, -12.391663
magnetic, 36.564636, 31.808472, -13.751221
magnetic, 37.263489, 30.062866, -15.451050
magnetic, 37.263489, 28.665161, -19.529724
magnetic, 35.867310, 27.268982, -20.549011
magnetic, 36.215210, 26.570129, -22.247314
magnetic, 36.564636, 23.776245, -26.666260
magnetic, 35.867310, 22.729492, -28.025818
magnetic, 34.819031, 22.030640, -28.704834
magnetic, 36.215210, 20.632935, -29.383850
magnetic, 36.215210, 18.537903, -30.064392
magnetic, 35.517883, 19.236755, -30.404663
magnetic, 35.168457, 17.141724, -29.383850
magnetic, 36.215210, 17.141724, -30.404663
magnetic, 35.867310, 15.744019, -30.404663
magnetic, 36.564636, 17.141724, -29.724121
magnetic, 36.914063, 16.792297, -29.385376
magnetic, 36.215210, 17.491150, -30.064392
magnetic, 37.960815, 19.236755, -27.346802
magnetic, 38.310242, 21.331787, -25.306702
magnetic, 39.358521, 24.475098, -21.908569
magnetic, 40.405273, 27.268982, -16.810608
magnetic, 39.358521, 28.315735, -13.412476
magnetic, 39.358521, 30.760193, -10.014343
magnetic, 39.009094, 30.410767, -6.954956
magnetic, 41.802979, 31.109619, -3.556824
magnetic, 41.104126, 30.760193, -1.177979
magnetic, 41.104126, 30.410767, -0.837708
magnetic, 40.756226, 29.713440, -0.497437
magnetic, 40.057373, 30.410767, -0.497437
magnetic, 40.406799, 30.760193, -1.856995
magnetic, 39.009094, 31.109619, -3.216553
magnetic, 40.405273, 32.157898, -5.935669
magnetic, 39.009094, 32.157898, -8.314514
magnetic, 37.960815, 31.459045, -10.693359
magnetic, 37.612915, 30.061340, -14.091492
magnetic, 36.914063, 29.364014, -17.829895
magnetic, 36.564636, 27.618408, -20.889282
magnetic, 35.516357, 26.220703, -23.947144
magnetic, 35.865784, 25.871277, -25.646973
magnetic, 35.865784, 24.125671, -25.646973
magnetic, 35.516357, 22.378540, -27.685547
magnetic, 35.168457, 21.331787, -29.724121
magnetic, 36.215210, 19.935608, -29.724121
magnetic, 35.865784, 17.839050, -31.423950
magnetic, 35.867310, 18.188477, -31.083679
magnetic, 35.516357, 16.442871, -32.104492
magnetic, 35.865784, 16.792297, -32.102966
magnetic, 36.564636, 15.744019, -31.764221
magnetic, 35.865784, 17.839050, -32.104492
magnetic, 35.865784, 18.188477, -30.744934
magnetic, 36.564636, 20.285034, -29.724121
magnetic, 35.517883, 21.681213, -27.006531
magnetic, 36.564636, 24.475098, -24.626160
magnetic, 38.310242, 25.523376, -20.549011
magnetic, 37.612915, 28.315735, -17.150879
magnetic, 39.009094, 30.062866, -15.791321
magnetic, 39.009094, 30.410767, -11.712646
magnetic, 38.310242, 31.459045, -9.333801
magnetic, 39.707947, 32.157898, -8.314514
magnetic, 39.358521, 32.507324, -7.974243
magnetic, 39.009094, 32.507324, -7.295227
magnetic, 39.707947, 31.459045, -7.295227
magnetic, 38.659668, 33.204651, -8.314514
magnetic, 37.612915, 33.204651, -10.353088
magnetic, 36.564636, 32.856750, -13.072205
magnetic, 36.215210, 30.062866, -17.489624
magnetic, 35.517883, 29.364014, -21.908569
magnetic, 34.819031, 24.824524, -25.306702
magnetic, 36.564636, 22.727966, -27.345276
magnetic, 36.914063, 20.982361, -28.704834
magnetic, 37.263489, 18.537903, -29.045105
magnetic, 37.612915, 16.442871, -30.404663
magnetic, 37.612915, 16.093445, -29.724121
magnetic, 36.914063, 15.045166, -29.383850
magnetic, 36.564636, 15.045166, -30.064392
magnetic, 37.612915, 17.489624, -30.064392
magnetic, 37.612915, 17.489624, -29.385376
magnetic, 37.263489, 20.285034, -28.364563
magnetic, 37.263489, 24.125671, -24.627686
magnetic, 37.962341, 26.919556, -21.568298
magnetic, 37.962341, 29.364014, -16.470337
magnetic, 38.659668, 31.459045, -12.393188
magnetic, 38.310242, 30.760193, -11.712646
magnetic, 39.707947, 30.410767, -10.353088
magnetic, 40.406799, 30.061340, -7.974243
magnetic, 40.754700, 30.410767, -6.954956
magnetic, 41.104126, 30.760193, -6.614685
magnetic, 39.707947, 30.410767, -5.935669
magnetic, 40.057373, 30.760193, -6.614685
magnetic, 39.707947, 31.459045, -4.916382
magnetic, 40.406799, 30.760193, -6.274414
magnetic, 40.756226, 30.410767, -6.614685
magnetic, 41.802979, 30.760193, -5.935669
magnetic, 40.057373, 30.410767, -6.614685
magnetic, 40.754700, 30.412292, -6.274414
magnetic, 41.104126, 30.760193, -6.954956
