Sensor, X, Y, Z
orientation angles, 0.000000, -0.000000, -0.000000
orientation angles, -0.089989, 0.087309, 1.494107
orientation angles, -0.075654, 0.087309, 1.494107
orientation angles, -0.057413, 0.086681, 1.476865
orientation angles, 0.019761, 0.072381, 1.482298
orientation angles, 0.063298, 0.081227, 1.495085
orientation angles, 0.151581, 0.076129, 1.514725
orientation angles, 0.235582, 0.080490, 1.517820
orientation angles, 0.275904, 0.077921, 1.512426
orientation angles, 0.328315, 0.084165, 1.504790
orientation angles, 0.384533, 0.082428, 1.512177
orientation angles, 0.467519, 0.088723, 1.516755
orientation angles, 0.609233, 0.104187, 1.506735
orientation angles, 0.664202, 0.104187, 1.506735
orientation angles, 0.720894, 0.132151, 1.476138
orientation angles, 0.914806, 0.157379, 1.461398
orientation angles, 0.964104, 0.156478, 1.452905
orientation angles, 0.980651, 0.148812, 1.444268
orientation angles, 1.031016, 0.143300, 1.446018
orientation angles, 1.102360, 0.141259, 1.443217
orientation angles, 1.077398, 0.136790, 1.439697
orientation angles, 1.125705, 0.136790, 1.439697
orientation angles, 1.136035, 0.131423, 1.437584
orientation angles, 1.181086, 0.131423, 1.437584
orientation angles, 1.121520, 0.127976, 1.438145
orientation angles, 1.128379, 0.129518, 1.434301
orientation angles, 1.110043, 0.126502, 1.432508
orientation angles, 0.999734, 0.117100, 1.442205
orientation angles, 0.869381, 0.072058, 1.480302
orientation angles, 0.694693, 0.053698, 1.486780
orientation angles, 0.487179, 0.048500, 1.486741
orientation angles, 0.362407, 0.033129, 1.490789
orientation angles, 0.228883, 0.025977, 1.492908
orientation angles, 0.131940, 0.025977, 1.492908
orientation angles, 0.005021, 0.006769, 1.489604
orientation angles, -0.070730, 0.006769, 1.489604
orientation angles, -0.073544, -0.011430, 1.495056
orientation angles, -0.080713, -0.016944, 1.498228
orientation angles, -0.077320, -0.016944, 1.498228
orientation angles, -0.028932, -0.013947, 1.502460
orientation angles, -0.016899, -0.000230, 1.475089
orientation angles, 0.063561, -0.000230, 1.475089
orientation angles, 0.127587, 0.014698, 1.462514
orientation angles, 0.193001, 0.020762, 1.448656
orientation angles, 0.306428, 0.024279, 1.443646
orientation angles, 0.436036, 0.045457, 1.439499
orientation angles, 0.554745, 0.057100, 1.433908
orientation angles, 0.666801, 0.057100, 1.433908
orientation angles, 0.711797, 0.059241, 1.427933
orientation angles, 0.756580, 0.071470, 1.422576
orientation angles, 0.844958, 0.076017, 1.413254
orientation angles, 0.908152, 0.073877, 1.405117
orientation angles, 0.957200, 0.087295, 1.400498
orientation angles, 1.047309, 0.085487, 1.397413
orientation angles, 1.030687, 0.085487, 1.397413
orientation angles, 1.089498, 0.080480, 1.387844
orientation angles, 1.078132, 0.080242, 1.387858
orientation angles, 1.109348, 0.084253, 1.385319
orientation angles, 1.034576, 0.073490, 1.382946
orientation angles, 0.978792, 0.060977, 1.377236
orientation angles, 0.895374, 0.056956, 1.381945
orientation angles, 0.782939, 0.044744, 1.379802
orientation angles, 0.630093, 0.012201, 1.385976
orientation angles, 0.467591, -0.006550, 1.382741
orientation angles, 0.325774, 0.003251, 1.375383
orientation angles, 0.230148, 0.004952, 1.353150
orientation angles, 0.054410, 0.009894, 1.319242
orientation angles, -0.035758, 0.009277, 1.303603
orientation angles, -0.077389, 0.009277, 1.303603
orientation angles, -0.076291, 0.007643, 1.309568
orientation angles, -0.086717, 0.005795, 1.315152
orientation angles, -0.080091, 0.006823, 1.327067
orientation angles, -0.038261, 0.006823, 1.327067
orientation angles, 0.058220, 0.019361, 1.350687
orientation angles, 0.163348, 0.020177, 1.364007
orientation angles, 0.377976, 0.036113, 1.407676
orientation angles, 0.515841, 0.036113, 1.407676
orientation angles, 0.748325, 0.034161, 1.474982
orientation angles, 0.837222, 0.034161, 1.474982
orientation angles, 0.946327, 0.079138, 1.465490
orientation angles, 1.028711, 0.081483, 1.473411
orientation angles, 1.107306, 0.081764, 1.461959
orientation angles, 1.100172, 0.078793, 1.456195
orientation angles, 1.127780, 0.078793, 1.456195
orientation angles, 1.125137, 0.075588, 1.440414
orientation angles, 1.042582, 0.075784, 1.430486
orientation angles, 1.003482, 0.060799, 1.420737
orientation angles, 0.849033, 0.057739, 1.367074
orientation angles, 0.656384, 0.054680, 1.372755
orientation angles, 0.503309, 0.045659, 1.374870
orientation angles, 0.312285, 0.019139, 1.386364
orientation angles, 0.121426, 0.021423, 1.352639
orientation angles, 0.084443, 0.018922, 1.337516
orientation angles, 0.030142, 0.018922, 1.337516
orientation angles, -0.043127, -0.008158, 1.344097
orientation angles, -0.077354, -0.008158, 1.344097
orientation angles, -0.077517, -0.022662, 1.352074
orientation angles, -0.089876, -0.022662, 1.352074
orientation angles, -0.068754, -0.024493, 1.353275
orientation angles, -0.113352, -0.024441, 1.355227
orientation angles, -0.078787, -0.024410, 1.355411
orientation angles, -0.063996, -0.027208, 1.360958
orientation angles, -0.089275, -0.032105, 1.361649
orientation angles, -0.058791, -0.030976, 1.361239
orientation angles, -0.074968, -0.030833, 1.360327
