Timestamp,Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
170143444,0.0388,0.0364,0.0057,0.0073,-0.0015,-0.0016,0,0,0,0,22.2153,7.1686,49.6063
170143449,0.0486,0.039,0.0117,0.0094,-0.0037,-0.0027,-0.4682,0.6572,0.3914,0.4424,22.2153,7.1686,49.6063
170143454,0.0336,0.0521,0.0118,0.0083,-0.0026,-0.0005,-0.4682,0.6572,0.3914,0.4424,22.2153,6.4697,47.5677
170143459,0.0633,0.0296,0.0078,0.0083,-0.0037,-0.0016,-0.4681,0.6573,0.3914,0.4423,22.2153,6.4697,47.5677
170143464,0.0638,0.0358,0.0001,0.0126,-0.0037,-0.0016,-0.4681,0.6573,0.3914,0.4423,22.2153,6.4697,47.5677
170143469,0.0137,0.0192,0.0268,0.0126,-0.0015,-0.0005,-0.468,0.6574,0.3914,0.4423,22.2153,6.4697,47.5677
170143474,0.0735,0.0182,-0.0138,0.0126,-0.0026,-0.0016,-0.4679,0.6574,0.3914,0.4424,21.5164,4.3747,48.9273
170143479,0.0544,-0.003,-0.0279,0.0094,-0.0005,-0.0005,-0.468,0.6574,0.3914,0.4423,21.5164,4.3747,48.9273
170143484,0.0487,0.0114,-0.0138,0.0094,-0.0026,0.0005,-0.468,0.6574,0.3914,0.4422,21.5164,4.3747,48.9273
170143489,0.0497,0.0069,-0.0108,0.0116,-0.0015,-0.0016,-0.468,0.6575,0.3914,0.4422,21.5164,4.3747,48.9273
170143494,0.0387,0.0107,-0.0116,0.0094,-0.0015,-0.0016,-0.4679,0.6575,0.3913,0.4422,20.8176,5.7724,48.9273
170143499,0.0636,0.0042,0.0177,0.0105,-0.0037,-0.0005,-0.468,0.6575,0.3913,0.4422,20.8176,5.7724,48.9273
170143504,0.0278,0.0096,-0.0231,0.0094,-0.0026,-0.0037,-0.468,0.6575,0.3913,0.4422,20.8176,5.7724,48.9273
170143509,0.0426,0.0216,0.0162,0.0116,-0.0026,-0.0027,-0.468,0.6576,0.3913,0.4422,20.8176,5.7724,48.9273
170143514,0.0521,-0.0344,-0.0045,0.0116,-0.0047,-0.0016,-0.4679,0.6576,0.3913,0.4422,20.8176,5.7724,51.6449
170143519,0.0255,-0.0245,-0.0036,0.0094,-0.0026,-0.0037,-0.468,0.6575,0.3913,0.4421,20.8176,5.7724,51.6449
170143524,0.0267,-0.0502,-0.0417,0.0094,-0.0058,-0.0016,-0.4681,0.6575,0.3913,0.4422,20.8176,5.7724,51.6449
170143529,0.0387,-0.0572,-0.0153,0.0062,-0.0068,0.0005,-0.4681,0.6575,0.3912,0.4422,20.8176,5.7724,51.6449
170143534,0.0172,-0.0044,0.0136,0.0041,-0.009,0.0016,-0.4682,0.6575,0.3912,0.4422,21.5164,7.1686,48.9273
170143539,-0.0118,0.0004,-0.0019,0.0041,-0.0079,0.0016,-0.4682,0.6575,0.3912,0.4422,21.5164,7.1686,48.9273
170143544,-0.0316,0.0121,-0.0019,0.0062,-0.0068,0.0016,-0.4681,0.6575,0.3912,0.4422,21.5164,7.1686,48.9273
170143549,-0.0065,-0.0122,0.0109,0.0105,-0.0037,-0.0027,-0.4681,0.6575,0.3912,0.4422,21.5164,7.1686,48.9273
170143554,-0.0204,-0.0083,-0.0591,0.0073,-0.0026,-0.0059,-0.4681,0.6574,0.3912,0.4423,22.2153,5.7724,48.2468
170143559,-0.0103,-0.0353,0.0013,0.0073,-0.0005,-0.0069,-0.4682,0.6574,0.3912,0.4422,22.2153,5.7724,48.2468
170143564,-0.0171,-0.0467,-0.0033,0.0052,0.0006,-0.008,-0.4682,0.6574,0.3912,0.4423,22.2153,5.7724,48.2468
170143569,0.0062,-0.0863,-0.0118,0.0041,-0.0005,-0.0048,-0.4683,0.6574,0.3911,0.4423,22.2153,5.7724,48.2468
170143574,-0.0045,-0.1138,-0.0154,-0.0023,-0.0005,-0.0027,-0.4684,0.6573,0.3911,0.4423,21.5164,5.7724,50.2869
170143579,0.0352,-0.0944,-0.042,-0.0076,0.0027,0.0048,-0.4686,0.6572,0.3911,0.4423,21.5164,5.7724,50.2869
170143584,0.0306,-0.0649,0.0484,-0.0108,0.0017,0.0122,-0.4687,0.6571,0.3911,0.4422,21.5164,5.7724,50.2869
170143589,0.0482,-0.0008,-0.014,-0.014,-0.0005,0.0133,-0.4688,0.6571,0.3911,0.4422,21.5164,5.7724,50.2869
170143594,0.0267,0.0219,-0.0248,-0.014,-0.0026,0.0133,-0.4687,0.6571,0.3911,0.4422,20.1202,5.0735,48.9273
170143599,-0.0052,0.0663,0.0109,-0.014,-0.0037,0.0112,-0.4688,0.657,0.3912,0.4421,20.1202,5.0735,48.9273
170143604,-0.0945,0.0996,-0.0114,-0.0108,-0.0005,0.008,-0.4688,0.6571,0.3913,0.4421,20.1202,5.0735,48.9273
170143609,-0.1068,0.1148,0.0046,-0.0076,0.0059,0.0016,-0.4687,0.6571,0.3913,0.442,20.1202,5.0735,48.9273
170143614,-0.1108,0.0849,0.0199,-0.0066,0.0134,-0.0027,-0.4686,0.6572,0.3914,0.442,22.9126,6.4697,48.9273
170143619,-0.0697,0.1017,0.0215,-0.0044,0.0166,-0.008,-0.4686,0.6572,0.3914,0.442,22.9126,6.4697,48.9273
170143624,-0.0058,0.0764,0.0127,0.0009,0.0219,-0.0218,-0.4685,0.6572,0.3915,0.442,22.9126,6.4697,48.9273
170143629,0.0553,0.064,0.0101,-0.0012,0.024,-0.0261,-0.4685,0.6573,0.3914,0.4419,22.9126,6.4697,48.9273
170143634,0.087,0.0474,-0.0283,-0.0023,0.0187,-0.0336,-0.4685,0.6573,0.3914,0.4419,23.6115,5.7724,50.2869
170143639,0.0316,0.0079,-0.0196,-0.0012,0.0208,-0.0336,-0.4686,0.6573,0.3914,0.4418,23.6115,5.7724,50.2869
170143644,0.0578,-0.0031,-0.0077,0.002,0.0198,-0.0314,-0.4687,0.6573,0.3913,0.4418,23.6115,5.7724,50.2869
170143649,0.035,-0.0723,0.0088,-0.0012,0.0155,-0.0261,-0.4688,0.6573,0.3912,0.4418,23.6115,5.7724,50.2869
170143654,0.0264,-0.0739,-0.0406,-0.0002,0.0123,-0.0186,-0.4689,0.6572,0.3912,0.4418,22.2153,5.0735,50.2869
170143659,-0.0254,-0.0976,-0.0531,0.0009,0.0102,-0.0112,-0.4691,0.6571,0.3912,0.4417,22.2153,5.0735,50.2869
170143664,-0.0122,-0.1028,0.0013,0.0009,0.0113,-0.0037,-0.4692,0.6571,0.3911,0.4417,22.2153,5.0735,50.2869
170143669,-0.0116,-0.1221,-0.0252,-0.0002,0.0081,0.0027,-0.4693,0.657,0.3911,0.4417,22.2153,5.0735,50.2869
170143674,0.0227,-0.0914,-0.0116,-0.0023,0.0059,0.0101,-0.4694,0.657,0.391,0.4417,22.2153,5.7724,49.6063
170143679,0.0754,-0.112,-0.0481,-0.0034,0.0049,0.0112,-0.4695,0.6569,0.3911,0.4417,22.2153,5.7724,49.6063
170143684,0.0668,-0.1351,-0.0003,-0.0044,0.0049,0.0144,-0.4696,0.6569,0.391,0.4416,22.2153,5.7724,49.6063
170143689,0.0744,-0.0935,0,-0.0055,0.0006,0.0186,-0.4697,0.6569,0.391,0.4416,22.2153,5.7724,49.6063
170143694,0.0562,-0.0315,-0.0004,-0.0034,-0.0015,0.0186,-0.4697,0.6569,0.391,0.4416,21.5164,4.3747,49.6063
170143699,0.0388,-0.0276,0.0258,-0.0034,-0.0015,0.0197,-0.47,0.6567,0.3912,0.4414,21.5164,4.3747,49.6063
170143704,0.0385,-0.0077,0.0295,-0.0055,-0.0015,0.0218,-0.4699,0.6567,0.3912,0.4414,21.5164,4.3747,49.6063
170143709,0.0491,-0.013,0.0138,-0.0044,0.0006,0.0197,-0.4699,0.6567,0.3912,0.4414,21.5164,4.3747,49.6063
170143714,0.0268,0.0263,0.0155,-0.0055,0.0038,0.0186,-0.4698,0.6568,0.3913,0.4414,21.5164,5.0735,48.2468
170143719,0.0225,-0.0559,-0.0107,-0.0055,0.0059,0.0186,-0.4699,0.6567,0.3914,0.4413,21.5164,5.0735,48.2468
170143724,0.0362,0.011,-0.044,-0.0044,0.0059,0.0176,-0.4699,0.6567,0.3914,0.4413,21.5164,5.0735,48.2468
170143729,0.0483,0.0121,0.0153,-0.0055,0.007,0.0154,-0.4699,0.6568,0.3914,0.4412,21.5164,5.0735,48.2468
170143734,0.0425,0.0482,-0.0112,-0.0066,0.0059,0.0122,-0.4698,0.6568,0.3914,0.4412,21.5164,5.0735,49.6063
170143739,0.0703,0.029,0.0025,-0.0076,0.0059,0.0091,-0.47,0.6568,0.3915,0.4411,21.5164,5.0735,49.6063
170143744,0.0439,0.044,0,-0.0066,0.0059,0.0048,-0.4699,0.6568,0.3915,0.441,21.5164,5.0735,49.6063
170143749,0.0758,0.0198,0.0042,-0.0098,0.007,0.0037,-0.4699,0.6569,0.3915,0.441,21.5164,5.0735,49.6063
170143754,0.0713,0.0516,-0.0155,-0.0108,0.0049,0.0016,-0.4698,0.6569,0.3915,0.441,22.9126,6.4697,48.9273
170143759,0.0606,0.016,-0.0486,-0.0108,0.0059,0.0037,-0.4698,0.6569,0.3915,0.4409,22.9126,6.4697,48.9273
170143764,0.0542,0.0413,-0.0346,-0.0108,0.0027,0.0037,-0.4698,0.657,0.3915,0.4409,22.9126,6.4697,48.9273
170143769,0.0255,0.004,-0.0147,-0.013,0.0017,0.0048,-0.4698,0.657,0.3915,0.4409,22.9126,6.4697,48.9273
170143774,0.0521,0.0118,-0.0198,-0.0119,0.0027,0.0048,-0.4697,0.6571,0.3915,0.4409,20.8176,5.0735,49.6063
170143779,0.0447,0.0347,-0.0466,-0.0119,-0.0005,0.0037,-0.4699,0.6569,0.3916,0.4407,20.8176,5.0735,49.6063
170143784,0.0884,0.0465,-0.0583,-0.0119,-0.0005,0.0037,-0.4699,0.657,0.3916,0.4407,20.8176,5.0735,49.6063
170143789,0.0979,0.0271,-0.0789,-0.0108,-0.0068,0.0027,-0.4699,0.657,0.3916,0.4407,20.8176,5.0735,49.6063
170143794,0.0965,0.0876,-0.0612,-0.0087,-0.0122,0.0005,-0.4698,0.6571,0.3916,0.4407,20.1202,5.7724,48.9273
170143799,0.0385,0.0497,-0.0194,-0.0055,-0.0132,-0.0016,-0.4699,0.657,0.3917,0.4406,20.1202,5.7724,48.9273
170143804,0.0597,0.0348,0.0018,-0.0034,-0.0122,-0.0037,-0.4699,0.657,0.3917,0.4406,20.1202,5.7724,48.9273
170143809,0.1384,0.05,-0.02,-0.0034,-0.0122,-0.0037,-0.4699,0.657,0.3917,0.4406,20.1202,5.7724,48.9273
170143814,0.143,0.0479,-0.0761,-0.0012,-0.0196,-0.0037,-0.4698,0.657,0.3917,0.4406,21.5164,4.3747,48.9273
170143819,0.1473,0.0257,-0.0933,-0.0012,-0.0282,-0.0048,-0.4701,0.6569,0.3919,0.4404,21.5164,4.3747,48.9273
170143824,0.0951,0.0208,-0.0244,-0.0023,-0.0345,-0.0027,-0.4701,0.6569,0.3919,0.4404,21.5164,4.3747,48.9273
170143829,0.0206,0.0108,-0.0482,-0.0002,-0.0335,-0.0016,-0.4701,0.6568,0.3919,0.4404,21.5164,4.3747,48.9273
170143834,-0.0295,0.0498,-0.0942,-0.0002,-0.0292,0.0016,-0.47,0.6568,0.392,0.4405,21.5164,5.0735,48.9273
170143839,-0.0247,0.0298,-0.0516,-0.0012,-0.0271,0.0048,-0.4702,0.6567,0.3921,0.4404,21.5164,5.0735,48.9273
170143844,-0.0122,0.0389,-0.0705,-0.0002,-0.0282,0.008,-0.4702,0.6567,0.3922,0.4404,21.5164,5.0735,48.9273
170143849,0.0968,0.045,-0.0681,0.0009,-0.0324,0.0069,-0.4701,0.6567,0.3922,0.4404,21.5164,5.0735,48.9273
170143854,0.1564,0.0516,-0.0605,-0.0034,-0.0388,0.0027,-0.4701,0.6567,0.3922,0.4404,20.8176,5.7724,49.6063
170143859,0.1983,0.0369,-0.1012,-0.0034,-0.0441,-0.0016,-0.4701,0.6566,0.3924,0.4404,20.8176,5.7724,49.6063
170143864,0.1534,0.0476,-0.0702,-0.0023,-0.0473,-0.0037,-0.4701,0.6566,0.3924,0.4404,20.8176,5.7724,49.6063
170143869,0.1383,0.0675,-0.0758,0.0009,-0.0516,-0.0091,-0.4701,0.6565,0.3924,0.4404,20.8176,5.7724,49.6063
170143874,0.099,0.0318,-0.0488,0.002,-0.0516,-0.0112,-0.4701,0.6565,0.3925,0.4404,21.5164,6.4697,50.2869
170143879,0.0827,0.0479,-0.0805,0.0041,-0.0527,-0.0122,-0.4701,0.6564,0.3926,0.4405,21.5164,6.4697,50.2869
170143884,0.0894,0.0282,-0.0685,0.0041,-0.0527,-0.0122,-0.4701,0.6563,0.3926,0.4405,21.5164,6.4697,50.2869
170143889,0.1026,0.0454,-0.0517,0.0041,-0.0601,-0.0101,-0.4701,0.6563,0.3927,0.4406,21.5164,6.4697,50.2869
170143894,0.0766,-0.01,-0.0768,0.0041,-0.0633,-0.0091,-0.4701,0.6562,0.3928,0.4406,22.2153,5.0735,48.9273
170143899,0.0892,0.0114,-0.0697,0.0041,-0.0665,-0.0101,-0.4702,0.656,0.3929,0.4406,22.2153,5.0735,48.9273
170143904,0.0895,-0.0118,-0.0768,0.0052,-0.0686,-0.0048,-0.4702,0.6559,0.393,0.4407,22.2153,5.0735,48.9273
170143909,0.0762,-0.0065,-0.0494,0.003,-0.075,-0.0037,-0.4702,0.6558,0.3931,0.4407,22.2153,5.0735,48.9273
170143914,0.0892,-0.0079,-0.0951,0.002,-0.0772,-0.0048,-0.4702,0.6557,0.3932,0.4408,20.8176,5.7724,50.2869
170143919,0.1188,0.0026,-0.0609,0.0009,-0.0836,-0.0016,-0.4704,0.6555,0.3934,0.4408,20.8176,5.7724,50.2869
170143924,0.1569,-0.0583,-0.0879,0.0009,-0.0921,0.0016,-0.4703,0.6554,0.3935,0.4409,20.8176,5.7724,50.2869
170143929,0.1814,-0.0613,-0.0916,-0.0012,-0.0995,0.0037,-0.4703,0.6553,0.3935,0.441,20.8176,5.7724,50.2869
170143934,0.2139,-0.0539,-0.0825,0.0009,-0.1081,0.0059,-0.4702,0.6553,0.3936,0.4412,20.8176,7.1686,49.6063
170143939,0.1907,-0.0642,-0.0949,-0.0023,-0.1187,0.0059,-0.4701,0.6552,0.3937,0.4413,20.8176,7.1686,49.6063
170143944,0.2349,-0.0266,-0.1088,-0.0034,-0.1283,0.0059,-0.47,0.6551,0.3938,0.4415,20.8176,7.1686,49.6063
170143949,0.2543,0.0122,-0.1603,-0.0055,-0.14,0.0048,-0.4699,0.655,0.3939,0.4416,20.8176,7.1686,49.6063
170143954,0.2389,-0.0226,-0.0862,-0.0076,-0.1485,0.0037,-0.4697,0.6549,0.3941,0.4418,20.8176,5.0735,50.2869
170143959,0.269,-0.0608,-0.1469,-0.0098,-0.1613,0.0037,-0.4698,0.6546,0.3944,0.4419,20.8176,5.0735,50.2869
170143964,0.2812,-0.0228,-0.1524,-0.0119,-0.172,0.0005,-0.4697,0.6545,0.3945,0.4421,20.8176,5.0735,50.2869
170143969,0.2961,-0.0265,-0.1246,-0.0119,-0.1837,-0.0027,-0.4696,0.6543,0.3947,0.4423,20.8176,5.0735,50.2869
170143974,0.3039,-0.0051,-0.1239,-0.0119,-0.1943,-0.0005,-0.4694,0.6541,0.3949,0.4425,22.9126,4.3747,48.9273
170143979,0.322,-0.0261,-0.1404,-0.0108,-0.2061,-0.0027,-0.4695,0.6538,0.3952,0.4427,22.9126,4.3747,48.9273
