Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
0.0754,-0.177,-0.0329,0.0052,-0.0101,0.0016,0,0,0,0,21.5164,6.4697,49.6063
0.0989,-0.206,-0.0368,0.0052,-0.0101,0.0016,-0.4697,0.6645,0.3823,0.4379,21.5164,7.8674,48.2468
0.0839,-0.162,-0.0062,-0.0012,-0.0143,0.0048,-0.4701,0.6643,0.3821,0.4379,21.5164,7.8674,48.2468
0.0623,-0.1478,0.0062,-0.0055,-0.0111,0.0048,-0.4704,0.6641,0.382,0.438,21.5164,7.8674,48.2468
0.0682,-0.1457,-0.0262,-0.0087,-0.0079,0.0069,-0.4706,0.6639,0.3819,0.438,21.5164,7.8674,48.2468
0.0577,-0.1047,-0.0137,-0.013,-0.009,0.0059,-0.4709,0.6638,0.3818,0.438,21.5164,7.1686,50.2869
0.0986,-0.077,-0.0013,-0.0161,-0.009,0.0048,-0.4711,0.6637,0.3818,0.438,21.5164,7.1686,50.2869
0.0607,-0.0812,-0.0059,-0.0172,-0.0111,0.0037,-0.4712,0.6636,0.3818,0.438,21.5164,7.1686,50.2869
0.0442,-0.0603,-0.0046,-0.0215,-0.0111,0.0005,-0.4713,0.6635,0.3818,0.438,21.5164,7.1686,50.2869
0.0472,-0.0868,0.0147,-0.0215,-0.0101,-0.0005,-0.4714,0.6635,0.3818,0.438,20.8176,7.1686,48.9273
0.0687,-0.0207,-0.0179,-0.0215,-0.0079,-0.0005,-0.4716,0.6633,0.3818,0.438,20.8176,7.1686,48.9273
0.0818,-0.0379,0.0001,-0.0225,-0.0047,-0.0016,-0.4716,0.6633,0.3818,0.438,20.8176,7.1686,48.9273
0.0669,-0.0225,-0.0281,-0.0215,-0.0026,-0.0037,-0.4717,0.6633,0.3818,0.4379,20.8176,7.1686,48.9273
0.0571,-0.0043,-0.0082,-0.0225,-0.0047,-0.0048,-0.4718,0.6633,0.3818,0.4379,19.4214,9.9625,49.6063
0.0625,-0.0339,0.006,-0.0225,-0.0047,-0.0027,-0.4717,0.6633,0.3818,0.4379,19.4214,9.9625,49.6063
0.0876,-0.0021,-0.0183,-0.0215,-0.0026,-0.0027,-0.4718,0.6633,0.3818,0.4379,19.4214,9.9625,49.6063
0.073,-0.0151,-0.0022,-0.0204,-0.0058,-0.0027,-0.4718,0.6633,0.3818,0.4378,19.4214,9.9625,49.6063
0.0545,0.0536,-0.0476,-0.0204,-0.0079,-0.0059,-0.4718,0.6633,0.3818,0.4378,20.8176,8.5663,50.2869
0.1155,0.0005,-0.0717,-0.0204,-0.0101,-0.0037,-0.4717,0.6634,0.3818,0.4378,20.8176,8.5663,50.2869
0.1333,0.0009,-0.0599,-0.0193,-0.0122,-0.0037,-0.4718,0.6634,0.3818,0.4377,20.8176,8.5663,50.2869
0.1872,-0.0274,-0.0966,-0.0193,-0.0154,-0.0037,-0.4718,0.6634,0.3817,0.4376,20.8176,8.5663,50.2869
0.19,-0.0124,-0.0822,-0.0183,-0.0239,-0.0016,-0.4719,0.6635,0.3817,0.4376,20.1202,7.1686,50.2869
