Timestamp,Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
170147860,-0.0375,0.0609,0.0657,0.0094,-0.0132,-0.0048,0,0,0,0,48.7549,7.8674,8.8257
170147861,-0.0569,0.0668,0.0592,0.0126,-0.0111,-0.0048,-0.2337,0.3796,0.5683,0.6916,48.7549,7.8674,8.8257
170147862,-0.0765,0.0143,0.0717,0.0126,-0.0111,-0.0048,-0.2336,0.3796,0.5683,0.6917,50.1526,7.1686,6.7856
170147863,-0.0724,0.0335,0.0577,0.0137,-0.009,-0.0037,-0.2335,0.3796,0.5682,0.6918,50.1526,7.1686,6.7856
170147864,-0.0595,0.008,0.0735,0.0147,-0.0079,-0.0016,-0.2334,0.3797,0.5681,0.6918,50.1526,7.1686,6.7856
170147865,-0.0704,0.0041,0.0215,0.0147,-0.0037,-0.0005,-0.2333,0.3796,0.5681,0.6918,50.1526,7.1686,6.7856
170147866,-0.0222,0.0109,0.0503,0.0147,-0.0037,-0.0027,-0.2333,0.3797,0.5681,0.6918,50.1526,5.7724,8.8257
170147867,-0.038,0.0005,0.0283,0.0126,0.0017,-0.0048,-0.2333,0.3797,0.5681,0.6919,50.1526,5.7724,8.8257
170147868,0.0004,0.0048,0.0344,0.0126,0.0017,-0.0048,-0.2333,0.3797,0.5681,0.6919,50.1526,5.7724,8.8257
170147869,-0.0125,0.0181,0.0702,0.0094,0.0027,-0.0101,-0.2332,0.3797,0.5681,0.6919,50.1526,5.7724,8.8257
170147870,-0.0071,0.0211,0.0224,0.0094,0.0027,-0.0144,-0.2332,0.3796,0.5681,0.6919,49.4537,7.1686,8.8257
170147871,-0.0213,-0.0297,0.0073,0.0094,0.0006,-0.0122,-0.2331,0.3797,0.568,0.692,49.4537,7.1686,8.8257
170147872,-0.0636,-0.0232,0.0684,0.0116,-0.0015,-0.0059,-0.2332,0.3797,0.568,0.692,49.4537,7.1686,8.8257
170147873,-0.0804,-0.0307,0.0174,0.0116,0.0006,-0.0027,-0.2332,0.3796,0.568,0.692,49.4537,7.1686,8.8257
170147874,-0.0992,-0.03,0.0149,0.0116,0.0006,-0.0027,-0.2332,0.3797,0.5679,0.692,50.8514,5.7724,7.4661
170147875,-0.0519,-0.0407,0.0272,0.0083,0.0091,0.0101,-0.2333,0.3797,0.5679,0.692,50.8514,5.7724,7.4661
170147876,0.0013,-0.0539,-0.021,0.0052,0.0102,0.0133,-0.2334,0.3797,0.5679,0.692,50.8514,5.7724,7.4661
170147877,0.0496,-0.021,-0.0087,0.002,0.0081,0.0133,-0.2334,0.3797,0.5679,0.692,50.8514,5.7724,7.4661
170147878,0.0372,-0.0147,-0.0283,0.002,0.0081,0.0133,-0.2334,0.3797,0.568,0.6919,51.5488,5.7724,8.8257
170147879,0.0215,0.02,-0.0387,-0.0034,0.0027,0.0059,-0.2334,0.3797,0.568,0.6919,51.5488,5.7724,8.8257
170147880,0.0241,-0.0032,-0.0184,-0.0055,0.0049,0.0016,-0.2334,0.3797,0.568,0.6919,51.5488,5.7724,8.8257
170147886,0.0194,-0.0033,-0.0257,-0.0098,0.0059,-0.0027,-0.2334,0.3797,0.568,0.6919,51.5488,5.7724,8.8257
170147891,0.0418,-0.0054,0.0038,-0.0119,0.0091,-0.0037,-0.2335,0.3797,0.568,0.6919,50.1526,7.1686,8.1451
170147896,0.0917,-0.0063,-0.0288,-0.0151,0.0091,-0.008,-0.2334,0.3797,0.5679,0.6919,50.1526,7.1686,8.1451
170147901,0.1086,0.0231,0.018,-0.0193,0.007,-0.0122,-0.2335,0.3797,0.5679,0.6919,50.1526,7.1686,8.1451
170147906,0.1084,0.0233,-0.0272,-0.0193,0.007,-0.0122,-0.2335,0.3796,0.568,0.692,50.1526,7.1686,8.1451
170147911,0.1037,0.0262,0.0318,-0.0204,-0.0026,-0.0165,-0.2335,0.3796,0.568,0.692,50.1526,7.1686,8.1451
170147916,0.0653,0.0314,0.0091,-0.0204,-0.0047,-0.0176,-0.2334,0.3795,0.5679,0.6921,50.1526,7.1686,8.1451
170147921,0.0405,0.0466,0.038,-0.0193,-0.0058,-0.0144,-0.2334,0.3795,0.5679,0.6921,50.1526,7.1686,8.1451
170147926,-0.0137,0.0568,0.0507,-0.013,-0.009,-0.0133,-0.2334,0.3794,0.5679,0.6921,50.1526,5.7724,8.1451
170147931,-0.0163,0.0375,0.0499,-0.0087,-0.0101,-0.008,-0.2333,0.3794,0.5679,0.6922,50.1526,5.7724,8.1451
170147936,-0.0219,0.0309,0.0404,-0.0055,-0.009,-0.0027,-0.2333,0.3794,0.5679,0.6922,50.1526,5.7724,8.1451
170147941,-0.0618,0.0398,0.081,-0.0034,-0.0111,0.0027,-0.2332,0.3793,0.5679,0.6922,50.1526,5.7724,8.1451
170147946,-0.0371,0.0437,0.0707,-0.0002,-0.0111,0.0091,-0.2332,0.3793,0.5679,0.6922,49.4537,7.1686,7.4661
170147951,-0.0621,0.0251,0.1071,0.0041,-0.009,0.0122,-0.2331,0.3793,0.5679,0.6923,49.4537,7.1686,7.4661
170147956,-0.057,0.0318,0.0548,0.0073,-0.0068,0.0144,-0.233,0.3793,0.5679,0.6923,49.4537,7.1686,7.4661
170147961,-0.0757,0.015,0.062,0.0083,-0.0037,0.0186,-0.233,0.3793,0.5679,0.6923,49.4537,7.1686,7.4661
170147966,-0.0634,0.05,0.0699,0.0073,-0.0005,0.0186,-0.2329,0.3793,0.5679,0.6923,50.8514,5.7724,8.1451
170147971,-0.068,0.0213,0.0369,0.0073,-0.0005,0.0186,-0.2328,0.3794,0.568,0.6923,50.8514,5.7724,8.1451
170147976,-0.0471,-0.0137,0.0249,0.0126,0.007,0.0176,-0.2328,0.3794,0.568,0.6923,50.8514,5.7724,8.1451
170147981,-0.0267,0.0061,0.0215,0.0116,0.0102,0.0165,-0.2328,0.3795,0.568,0.6922,50.8514,5.7724,8.1451
170147986,-0.0088,-0.0125,0.0652,0.0073,0.0166,0.0154,-0.2328,0.3795,0.568,0.6922,50.8514,7.8674,8.1451
170147991,0.0009,-0.0131,-0.0043,0.0062,0.0166,0.0133,-0.2327,0.3796,0.5679,0.6923,50.8514,7.8674,8.1451
170147996,0.0161,-0.0185,-0.0234,0.003,0.0155,0.0112,-0.2327,0.3796,0.5679,0.6923,50.8514,7.8674,8.1451
170148001,0.0624,-0.0176,-0.0002,0.002,0.0176,0.0059,-0.2327,0.3796,0.5679,0.6922,50.8514,7.8674,8.1451
170148006,0.0252,0.0023,0.0115,-0.0023,0.0198,0.0037,-0.2327,0.3796,0.5679,0.6922,50.8514,7.1686,9.5047
170148011,0.0375,-0.0324,-0.0025,-0.0055,0.0176,0.0016,-0.2327,0.3797,0.5679,0.6922,50.8514,7.1686,9.5047
170148016,0.0698,-0.0221,0.0232,-0.0066,0.0134,0.0016,-0.2328,0.3797,0.5679,0.6922,50.8514,7.1686,9.5047
170148021,0.0643,0.0135,0.0157,-0.0076,0.0134,0.0005,-0.2328,0.3797,0.5679,0.6922,50.8514,7.1686,9.5047
170148026,0.0526,0.0335,-0.0078,-0.0119,0.0113,-0.0005,-0.2328,0.3797,0.5679,0.6922,50.1526,6.4697,6.7856
170148031,0.0273,0.0244,0.0015,-0.013,0.0091,-0.0016,-0.2328,0.3797,0.5679,0.6922,50.1526,6.4697,6.7856
170148036,0.04,0.0344,0.0004,-0.0119,0.0102,0.0005,-0.2328,0.3797,0.5679,0.6922,50.1526,6.4697,6.7856
170148041,0.0548,0.0423,0.0006,-0.0119,0.007,0.0016,-0.2328,0.3797,0.5679,0.6922,50.1526,6.4697,6.7856
170148046,0.0171,0.039,-0.0157,-0.0119,0.0081,0.0037,-0.2328,0.3797,0.5679,0.6922,51.5488,5.0735,8.1451
170148051,0.033,0.0503,0.0098,-0.0119,0.007,0.0027,-0.2328,0.3797,0.5679,0.6922,51.5488,5.0735,8.1451
170148056,0.0386,0.0754,-0.0012,-0.0098,0.0027,0.0005,-0.2328,0.3797,0.5679,0.6922,51.5488,5.0735,8.1451
170148061,0.0207,0.0607,0.0228,-0.0087,0.0027,0.0037,-0.2327,0.3797,0.5679,0.6922,51.5488,5.0735,8.1451
170148066,0.0424,0.0532,0.0267,-0.0034,0.0017,0.0016,-0.2327,0.3797,0.5679,0.6922,50.8514,6.4697,6.7856
170148071,-0.001,0.0905,0.0334,-0.0002,-0.0015,-0.0016,-0.2326,0.3798,0.5678,0.6923,50.8514,6.4697,6.7856
170148076,-0.0096,0.1021,0.0422,0.0009,-0.0015,-0.0016,-0.2325,0.3798,0.5678,0.6923,50.8514,6.4697,6.7856
170148081,-0.0239,0.1007,0.0172,0.003,0.0017,-0.0048,-0.2325,0.3798,0.5678,0.6923,50.8514,6.4697,6.7856
170148086,-0.0411,0.0908,0.015,0.0062,-0.0005,-0.0059,-0.2324,0.3799,0.5678,0.6923,48.7549,7.1686,6.7856
170148091,-0.0769,0.066,0.0125,0.0105,0.0017,-0.0069,-0.2322,0.38,0.5675,0.6925,48.7549,7.1686,6.7856
170148096,-0.0791,0.0753,0.0372,0.0126,0.0049,-0.008,-0.2322,0.38,0.5675,0.6925,48.7549,7.1686,6.7856
170148101,-0.0775,0.0366,0.024,0.0147,0.0027,-0.0059,-0.2322,0.3801,0.5675,0.6925,48.7549,7.1686,6.7856
170148106,-0.1085,0.0293,0.0089,0.0169,0.0049,-0.0037,-0.2322,0.3801,0.5675,0.6925,49.4537,5.7724,8.1451
170148111,-0.1322,0.0318,0.014,0.0179,0.0081,-0.0016,-0.2322,0.3802,0.5674,0.6925,49.4537,5.7724,8.1451
170148116,-0.1001,-0.0198,-0.0027,0.0169,0.0145,0.0027,-0.2321,0.3803,0.5674,0.6925,49.4537,5.7724,8.1451
170148121,-0.0513,-0.0345,0.0149,0.0158,0.0219,0.0048,-0.2322,0.3803,0.5673,0.6925,49.4537,5.7724,8.1451
170148126,0.0221,-0.0479,-0.018,0.0147,0.0219,0.0059,-0.2322,0.3804,0.5673,0.6925,49.4537,5.7724,7.4661
170148131,0.0746,-0.0249,-0.0504,0.0137,0.0208,0.0037,-0.2322,0.3805,0.5672,0.6925,49.4537,5.7724,7.4661
170148136,0.0989,-0.0266,-0.0859,0.0083,0.0155,-0.0005,-0.2322,0.3805,0.5672,0.6925,49.4537,5.7724,7.4661
170148141,0.1163,-0.0122,-0.0398,0.0083,0.0155,-0.0005,-0.2322,0.3805,0.5672,0.6925,49.4537,5.7724,7.4661
170148146,0.0745,0.0048,-0.0175,0.0052,0.007,-0.0101,-0.2322,0.3806,0.5672,0.6925,50.1526,6.4697,8.1451
170148151,0.0546,-0.0049,-0.0219,0.0041,0.0091,-0.0133,-0.2321,0.3806,0.5671,0.6926,50.1526,6.4697,8.1451
170148156,0.023,-0.0225,-0.0332,0.003,0.0091,-0.0133,-0.2322,0.3806,0.5671,0.6926,50.1526,6.4697,8.1451
170148161,0.0847,-0.0332,-0.0353,0.0009,0.0059,-0.0112,-0.2322,0.3806,0.5671,0.6926,50.1526,6.4697,8.1451
170148166,0.0591,-0.0357,-0.0402,-0.0002,0.0017,-0.0091,-0.2323,0.3806,0.5671,0.6925,51.5488,6.4697,8.1451
170148171,0.063,-0.0444,0.0052,0.0009,-0.0005,-0.0059,-0.2323,0.3806,0.567,0.6926,51.5488,6.4697,8.1451
170148176,0.0385,-0.0177,-0.04,-0.0012,-0.0037,-0.0027,-0.2323,0.3805,0.5671,0.6926,51.5488,6.4697,8.1451
170148181,0.0546,-0.0122,-0.0233,-0.0002,-0.0068,-0.0005,-0.2323,0.3805,0.5671,0.6926,51.5488,6.4697,8.1451
170148186,0.0758,-0.0286,-0.0145,-0.0023,-0.0068,0.0005,-0.2323,0.3805,0.5671,0.6926,48.0576,6.4697,8.1451
170148191,0.0447,0.0031,0.0071,-0.0023,-0.0037,0.0005,-0.2322,0.3805,0.567,0.6927,48.0576,6.4697,8.1451
170148196,0.024,0.0098,0.0223,0.0009,-0.0037,0.0016,-0.2322,0.3805,0.567,0.6927,48.0576,6.4697,8.1451
170148201,0.0373,0.0096,0.037,0.0009,-0.0047,0.0016,-0.2322,0.3805,0.567,0.6927,48.0576,6.4697,8.1451
170148206,0.038,0.0065,-0.0017,0.0009,-0.0047,0.0016,-0.2322,0.3805,0.567,0.6927,50.1526,6.4697,6.1066
170148211,0.0226,-0.0136,0.0449,0.0009,-0.0058,0.0037,-0.2321,0.3805,0.5669,0.6928,50.1526,6.4697,6.1066
170148216,0.0097,0.0097,0.0635,0.002,-0.0068,0.0037,-0.232,0.3805,0.5669,0.6928,50.1526,6.4697,6.1066
