Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
-0.0162,-0.0407,-0.0342,0.0201,0.0049,-0.0091,0,0,0,0,49.4537,8.5663,11.5433
-0.0132,-0.0382,-0.0255,0.0201,0.0017,-0.008,-0.2469,0.4067,0.5438,0.6913,50.8514,6.4697,10.8643
0.0282,-0.0637,-0.0606,0.0169,-0.0026,-0.0091,-0.2471,0.4067,0.5438,0.6912,50.8514,6.4697,10.8643
0.0228,-0.061,-0.0736,0.0116,-0.0047,-0.0101,-0.2472,0.4067,0.5438,0.6912,50.8514,6.4697,10.8643
0.0231,-0.0486,-0.0518,0.0105,-0.0037,-0.0122,-0.2473,0.4067,0.5437,0.6912,50.8514,6.4697,10.8643
0.0096,-0.035,-0.0336,0.0094,-0.0026,-0.0154,-0.2474,0.4067,0.5437,0.6912,49.4537,6.4697,10.8643
0.0004,-0.0399,-0.0235,0.0062,-0.0005,-0.0186,-0.2475,0.4067,0.5437,0.6912,49.4537,6.4697,10.8643
-0.001,-0.0307,-0.046,0.003,-0.0005,-0.0208,-0.2476,0.4067,0.5437,0.6912,49.4537,6.4697,10.8643
0.0093,-0.0301,-0.0507,0.002,-0.0005,-0.0197,-0.2477,0.4067,0.5436,0.6912,49.4537,6.4697,10.8643
0.028,-0.0552,-0.0437,-0.0023,-0.0005,-0.0176,-0.2477,0.4067,0.5435,0.6912,49.4537,8.5663,11.5433
0.0558,-0.031,-0.0271,-0.0023,-0.0005,-0.0176,-0.2478,0.4066,0.5435,0.6913,49.4537,8.5663,11.5433
0.0039,-0.0714,-0.0148,-0.0034,-0.0015,-0.0144,-0.2479,0.4066,0.5434,0.6913,49.4537,8.5663,11.5433
0.0095,-0.0217,-0.0246,-0.0044,-0.0068,-0.0122,-0.248,0.4065,0.5434,0.6913,49.4537,8.5663,11.5433
0.0055,-0.0438,-0.0244,-0.0055,-0.0101,-0.0112,-0.248,0.4065,0.5434,0.6913,50.1526,6.4697,12.2238
0.0072,-0.033,-0.0187,-0.0087,-0.0101,-0.0091,-0.2482,0.4064,0.5435,0.6913,50.1526,6.4697,12.2238
-0.0584,-0.0179,-0.022,-0.0044,-0.0111,-0.0048,-0.2482,0.4064,0.5435,0.6913,50.1526,6.4697,12.2238
-0.0166,0.0111,0.0866,-0.0034,0.0006,-0.0037,-0.2483,0.4064,0.5435,0.6913,50.1526,6.4697,12.2238
0.0835,0.0145,0.0771,-0.0034,0.0006,-0.0037,-0.2483,0.4063,0.5435,0.6913,51.5488,8.5663,10.8643
0.1494,-0.0064,-0.007,-0.0034,-0.0101,-0.0016,-0.2482,0.4062,0.5435,0.6914,51.5488,8.5663,10.8643
0.1232,-0.0002,-0.0554,-0.0044,-0.0207,-0.0016,-0.2481,0.4061,0.5436,0.6914,51.5488,8.5663,10.8643
0.0611,0.0419,0.038,-0.0044,-0.0218,-0.0027,-0.2481,0.4061,0.5436,0.6914,51.5488,8.5663,10.8643
-0.0075,0.0062,0.0369,-0.0023,-0.0186,-0.0016,-0.248,0.406,0.5436,0.6915,49.4537,6.4697,12.9028
-0.0334,0.0399,0.0456,-0.0023,-0.0186,-0.0016,-0.248,0.4059,0.5437,0.6914,49.4537,6.4697,12.9028
-0.0102,-0.0154,0.0187,0.0009,-0.0101,-0.0005,-0.2479,0.4059,0.5437,0.6914,49.4537,6.4697,12.9028
-0.0018,0.0194,0.0334,0.002,-0.0111,0.0005,-0.2479,0.4059,0.5438,0.6915,49.4537,6.4697,12.9028
0.0361,-0.0116,0.0264,0.0041,-0.0122,-0.0005,-0.2479,0.4059,0.5438,0.6915,48.0576,7.8674,11.5433
0.0077,-0.0022,0.0308,0.0009,-0.0154,-0.0027,-0.2478,0.4058,0.5438,0.6915,48.0576,7.8674,11.5433
